Provincia,Estadisticos,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual,year
Madrid,Maximo,"1,2","1,4","1,0","1,2","2,5","4,8","5,0","4,9","4,0","2,8","1,0","1,0","5,0",2022
Malaga,Minimo,"1,0","1,0","1,0","1,0","1,0","1,6","1,1","1,8","1,0","1,0","1,0","1,0","1,0",2022
Malaga,Cuartil_1,"1,0","1,0","1,0","1,0","1,0","2,0","2,9","2,8","1,2","1,1","1,1","1,0","1,0",2022
Malaga,Mediana,"1,0","1,0","1,0","1,0","1,0","3,1","3,6","3,5","2,5","1,7","1,3","1,0","1,1",2022
Malaga,Media,"1,0","1,1","1,0","1,0","1,4","3,1","3,5","3,4","2,4","1,9","1,5","1,0","1,9",2022
Malaga,Cuartil_3,"1,0","1,1","1,0","1,0","1,8","4,2","4,4","4,2","3,3","2,3","1,8","1,0","2,7",2022
Malaga,Maximo,"1,3","1,6","1,0","1,1","2,8","4,6","4,9","4,6","4,0","4,3","3,4","1,1","4,9",2022
Murcia,Minimo,"1,0","1,0","1,0","1,0","1,0","1,2","1,5","1,2","1,0","1,0","1,0","1,0","1,0",2022
Murcia,Cuartil_1,"1,0","1,0","1,0","1,0","1,0","2,5","2,7","3,2","1,1","1,0","1,1","1,0","1,0",2022
Murcia,Mediana,"1,0","1,0","1,0","1,0","1,0","3,3","4,1","4,1","1,6","1,1","1,2","1,0","1,1",2022
Murcia,Media,"1,1","1,2","1,0","1,0","1,5","3,4","3,6","3,8","2,0","1,2","1,4","1,0","1,9",2022
Murcia,Cuartil_3,"1,0","1,3","1,0","1,0","1,9","4,2","4,6","4,7","2,9","1,3","1,6","1,0","2,6",2022
Murcia,Maximo,"2,0","1,9","1,0","1,0","3,6","4,9","4,9","4,9","3,7","2,3","3,0","1,4","4,9",2022
Navarra,Minimo,"1,0","1,0","1,0","1,0","1,0","1,1","1,0","2,2","1,2","1,0","1,0","1,0","1,0",2022
Navarra,Cuartil_1,"1,0","1,0","1,0","1,0","1,7","2,1","2,8","3,5","2,6","1,6","1,0","1,0","1,0",2022
Navarra,Mediana,"1,0","1,0","1,0","1,0","2,6","3,2","3,7","3,9","3,2","2,4","1,0","1,0","1,5",2022
Navarra,Media,"1,1","1,1","1,2","1,3","2,7","3,2","3,6","3,8","3,3","2,5","1,2","1,1","2,2",2022
Navarra,Cuartil_3,"1,2","1,1","1,2","1,3","3,3","4,4","4,5","4,3","4,2","3,2","1,1","1,1","3,3",2022
Navarra,Maximo,"1,6","1,7","2,3","3,9","4,9","5,0","5,0","5,0","5,0","4,5","2,0","1,6","5,0",2022
Ourense,Minimo,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0",2022
Ourense,Cuartil_1,"1,0","1,0","1,0","1,0","1,1","1,0","2,7","3,7","1,1","1,0","1,0","1,0","1,0",2022
Ourense,Mediana,"1,0","1,0","1,0","1,0","1,4","1,0","3,9","4,0","1,8","1,0","1,0","1,0","1,0",2022
Ourense,Media,"1,1","1,2","1,0","1,1","1,6","1,3","3,4","3,7","2,0","1,3","1,0","1,0","1,6",2022
Ourense,Cuartil_3,"1,0","1,2","1,0","1,1","2,1","1,1","4,3","4,5","2,5","1,5","1,0","1,0","1,8",2022
