Provincia,Estadisticos,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual,year
Alicante,Cuartil_3,2,"2,3","2,9","1,3","1,7","2,8","4,3",4,"1,6","2,2","2,2","1,5","2,7",2019
Alicante,Maximo,"3,4","3,5","4,4","2,5","3,8","4,3","4,8","4,8","2,5",3,3,2,"4,8",2019
Almeria,Minimo,1,1,1,1,1,"1,8","1,3",1,1,1,1,1,1,2019
Almeria,Cuartil_1,"1,5","1,6","1,8",1,"1,4","2,9","3,5","2,5","1,1","1,2","1,5","1,1","1,3",2019
Almeria,Mediana,"1,7","1,8","2,2","1,1","1,8","3,2",4,"3,6","1,3","2,2","1,8","1,3","1,9",2019
Almeria,Media,"1,7","1,8","2,1","1,4","1,9","3,3","3,9","3,3","1,5","1,9","1,9","1,3","2,2",2019
Almeria,Cuartil_3,2,"2,1","2,5","1,7","2,3","3,5","4,3",4,"1,8","2,5","2,3","1,5","2,7",2019
Almeria,Maximo,"2,5","2,4",3,"2,5","3,1","4,4","4,8","4,9","2,3","3,1","2,7","1,8","4,9",2019
Avila,Minimo,1,1,1,1,"1,5","1,1","1,4","1,3",1,1,1,1,1,2019
Avila,Cuartil_1,"1,3","1,5",2,1,"1,9","2,3","2,7","2,6","1,4",1,1,1,"1,1",2019
Avila,Mediana,2,2,"2,4",1,"2,1","3,2","3,4","3,3","2,3","1,3",1,1,2,2019
Avila,Media,"1,8","1,9","2,3","1,3","2,3",3,"3,2","3,2","2,4","1,8","1,1","1,2","2,1",2019
Avila,Cuartil_3,"2,1","2,2","2,9","1,3","2,8","3,6","3,9","3,8","3,2","2,6","1,2","1,2","2,8",2019
Avila,Maximo,"2,4",3,"3,1","2,6","3,3","4,6","4,4","4,8","4,5","3,5","1,6",2,"4,8",2019
Badajoz,Minimo,1,1,1,1,1,"1,8","1,3",2,1,1,1,1,1,2019
Badajoz,Cuartil_1,"1,1","1,1","1,7",1,2,"2,5","2,5","3,4","2,1",1,1,1,"1,1",2019
Badajoz,Mediana,"1,4","1,3",2,"1,1","2,4","3,1","3,2","3,9","2,9","1,7",1,1,2,2019
Badajoz,Media,"1,4","1,4","2,1","1,4","2,6",3,"3,1","3,8",3,"1,9","1,1",1,"2,2",2019
Badajoz,Cuartil_3,"1,7","1,9","2,7","1,6","3,3","3,4","3,6","4,4","3,9","2,7","1,3",1,"3,1",2019
Badajoz,Maximo,2,2,"3,2","2,2","4,7","4,1","4,3","4,8",5,"3,6","1,5","1,4",5,2019
Illes Balears,Minimo,1,"1,1",1,1,1,"1,1","1,4",1,1,1,1,1,1,2019
Illes Balears,Cuartil_1,"1,1","1,2",2,"1,3","1,4","2,5","2,7",3,1,1,1,1,"1,2",2019
Illes Balears,Mediana,"1,5","1,5","2,2","1,4","1,7","2,8","3,2","3,4","1,7","1,7","1,1","1,3","1,9",2019
Illes Balears,Media,"1,5","1,6","2,1","1,6","1,7","2,8","3,1","3,3","1,7","1,6","1,3","1,3",2,2019
Illes Balears,Cuartil_3,"1,8",2,"2,4","1,9","1,9","3,2","3,7",4,"2,1",2,"1,4","1,5","2,4",2019
Illes Balears,Maximo,"2,5","2,4","3,2","2,8","2,9","4,7","4,5","4,7","2,9","2,4","2,3","2,2","4,7",2019
Barcelona,Minimo,"1,1","1,2","1,7",1,1,1,"1,1","1,6",1,1,1,1,1,2019
Barcelona,Cuartil_1,"1,6",2,"2,7",1,1,2,"2,3","3,2","1,6","1,3","1,1",1,"1,3",2019
Barcelona,Mediana,"2,1","2,5","3,2","1,2","1,4","2,9","3,7",4,"2,3","2,2","1,4","1,1","2,2",2019
Barcelona,Media,2,"2,4","3,1","1,7","1,6","2,8","3,4","3,7","2,1","2,1","1,5","1,2","2,3",2019
Barcelona,Cuartil_3,"2,4","2,9","3,5","1,9","1,9","3,7","4,6","4,5","2,6","2,9","1,8","1,3",3,2019
Barcelona,Maximo,"2,9","3,3","4,2","4,3","3,3","4,8","4,9","4,9","3,1","3,3","3,1","2,4","4,9",2019
Burgos,Minimo,1,1,1,1,1,1,1,"1,2",1,1,1,1,1,2019
Burgos,Cuartil_1,"1,1","1,2","1,9","1,1","1,4","1,4","1,8","2,2","1,5",1,1,1,"1,1",2019
Burgos,Mediana,"1,7",2,"2,8","1,3","2,1","2,2","2,6","3,1","2,3","1,7",1,"1,1","1,9",2019
Burgos,Media,"1,7",2,"2,6","1,6","2,1","2,7","2,5",3,"2,3",2,1,"1,2","2,1",2019
Burgos,Cuartil_3,2,"2,8","3,2","2,1","2,6","3,9","3,1","3,8",3,"2,6",1,"1,3","2,8",2019
Burgos,Maximo,"2,6","3,4",4,"2,6","3,4","4,9","4,6","4,5","4,3",4,"1,3",2,"4,9",2019
Caceres,Minimo,1,1,1,1,1,"1,2","1,4","1,1",1,1,1,1,1,2019
Caceres,Cuartil_1,"1,2","1,1","1,9",1,2,"2,1","2,5","2,8","1,8",1,1,1,1,2019
Caceres,Mediana,"1,4","1,4","2,1","1,2","2,3","2,7","2,9","3,4","2,3","1,1",1,1,"1,9",2019
Caceres,Media,"1,4","1,5","2,1","1,4","2,3","2,6","2,8","3,1","2,8","1,6","1,1",1,2,2019
Caceres,Cuartil_3,"1,7",2,"2,5","1,8","2,7","3,1","3,1","3,6","3,8","2,2","1,2",1,"2,7",2019
Caceres,Maximo,"2,1","2,1",3,2,"3,7","3,8","4,2","4,2","4,8","3,1","1,4","1,1","4,8",2019
Cadiz,Minimo,1,1,1,1,1,"1,8",2,"1,5",1,1,1,1,1,2019
Cadiz,Cuartil_1,1,"1,1","1,4",1,"1,9","2,5","2,6",3,"1,6","1,1",1,1,"1,1",2019
Cadiz,Mediana,"1,2","1,4","1,9",1,"2,1","2,7","2,8","3,2","2,1","1,8",1,1,"1,8",2019
Cadiz,Media,"1,3","1,4","1,8","1,3","2,2","2,7",3,"3,2","2,3","1,8",1,"1,1","1,9",2019
Cadiz,Cuartil_3,"1,5","1,7",2,"1,7","2,4","2,9","3,4","3,5",3,"2,3",1,"1,2","2,6",2019
Cadiz,Maximo,"1,8","2,1","2,9","2,1","3,9","3,8","4,1","4,3","4,1","3,6","1,4","1,8","4,3",2019
Castellon,Minimo,1,"1,8",1,1,1,"1,1",1,1,1,1,"1,2",1,1,2019
Castellon,Cuartil_1,"1,8","1,9","2,5",1,"1,1","2,2","2,2","2,6",1,"1,2","1,6",1,"1,4",2019
Castellon,Mediana,"2,1","2,3",3,"1,3","1,6","2,7","2,8","3,6","1,7",2,2,"1,4","2,1",2019
Castellon,Media,"2,2","2,4","2,9","1,4","1,7","2,7",3,"3,2","1,7","2,1","2,1","1,4","2,2",2019
Castellon,Cuartil_3,"2,8","2,5","3,3","1,6","2,2",3,"4,2",4,"2,2","2,8","2,4","1,7","2,8",2019
Castellon,Maximo,4,"4,1","4,5","2,6","2,9","4,7","4,6","4,9","3,1","4,1","3,5","2,8","4,9",2019
Ciudad Real,Minimo,1,1,1,1,1,"2,3","1,8","1,4",1,1,1,1,1,2019
Ciudad Real,Cuartil_1,"1,4","1,2",2,1,"1,9","3,1","3,4","3,6","1,1",1,1,1,1,2019
Ciudad Real,Mediana,"1,7","1,8","2,7",1,"2,2","3,4","3,9","4,2","1,9","1,4",1,1,2,2019
Ciudad Real,Media,"1,6","1,7","2,5","1,4","2,3","3,5","3,8",4,"2,2","1,7",1,1,"2,2",2019
Ciudad Real,Cuartil_3,2,2,3,"1,9","2,7","3,9","4,2","4,6","2,7","2,5",1,1,"3,1",2019
Ciudad Real,Maximo,"2,1","2,7","4,2","2,9","3,9","4,8","4,9",5,"4,9","3,2","1,5","1,9",5,2019
Cordoba,Minimo,1,1,1,1,"1,1","2,5","1,7","1,5",1,1,1,1,1,2019
Cordoba,Cuartil_1,"1,4","1,2","1,9",1,2,"3,4","3,4","3,4","1,3","1,1",1,1,"1,1",2019
Cordoba,Mediana,"1,7","1,7","2,1",1,"2,6","3,5","3,6","3,8",2,"1,9",1,1,2,2019
Cordoba,Media,"1,6","1,6","2,1","1,3","2,6","3,5","3,6","3,7","2,2",2,"1,1","1,1","2,2",2019
Cordoba,Cuartil_3,"1,9",2,"2,7","1,8","3,1","3,9","3,8","4,1","3,1","2,8","1,2",1,"3,2",2019
Cordoba,Maximo,2,"2,1","3,1","2,2","4,5","4,5","4,4","4,6","4,3","3,3","1,5",2,"4,6",2019
A Coruña,Minimo,1,1,1,1,1,1,"1,1","1,1",1,1,1,1,1,2019
A Coruña,Cuartil_1,1,"1,1","1,3",1,"1,5","1,1","1,8","1,7","1,6",1,1,1,1,2019
A Coruña,Mediana,2,"1,8","2,1","1,3","2,5","1,4","2,4","2,6","2,9",1,1,"1,2","1,6",2019
A Coruña,Media,"1,8",2,"2,3","1,6","2,3","1,6","2,4","2,3","2,8","1,3",1,"1,4","1,9",2019
A Coruña,Cuartil_3,"2,4","2,9","3,1","2,1","2,9","1,7","2,9","2,8","3,9","1,3",1,"1,7","2,6",2019
A Coruña,Maximo,3,"3,5","4,3","3,5","4,7","4,8","4,1","4,5","4,6","2,5","1,1","2,4","4,8",2019
Cuenca,Minimo,1,1,1,1,1,2,"1,7",1,1,1,1,1,1,2019
Cuenca,Cuartil_1,"1,6","1,6","2,2",1,"1,4","2,6",3,"2,7",1,1,1,1,"1,1",2019
Cuenca,Mediana,2,2,"2,9",1,"1,8","2,9","3,3","3,8","1,5","1,4",1,1,2,2019
Cuenca,Media,"1,8",2,"2,6","1,3","1,8","3,1","3,5","3,4","1,7","1,7","1,1","1,1","2,1",2019
Cuenca,Cuartil_3,"2,1","2,4",3,"1,3","2,1","3,3","4,3","4,3","2,1","2,4","1,1","1,1","2,8",2019
Cuenca,Maximo,"2,7",3,"3,8","2,7","2,9","4,9","4,9",5,"3,6","3,1","1,3","1,3",5,2019
Girona,Minimo,1,"1,2","1,9",1,1,1,1,2,1,1,1,1,1,2019
Girona,Cuartil_1,"1,4","2,1","2,5","1,1","1,1","1,6","2,2","3,2","1,4","1,3","1,1","1,1","1,3",2019
Girona,Mediana,"2,4","2,5","3,1","1,2","1,8","2,9","3,2","3,8","2,1","2,1","1,2","1,4","2,1",2019
Girona,Media,"2,3","2,4",3,"1,6","1,7","2,7","3,1","3,7","2,1",2,"1,3","1,4","2,3",2019
Girona,Cuartil_3,"2,8","2,9","3,4","1,9","2,1","3,4",4,"4,3","2,6","2,7","1,4","1,6",3,2019
Girona,Maximo,"3,8","3,6","4,8","3,5","3,2","4,4","4,6","4,8","3,6","3,7",2,"1,8","4,8",2019
Granada,Minimo,1,1,1,1,"1,1","2,3","1,7","1,5",1,1,1,1,1,2019
Granada,Cuartil_1,"1,4","1,3","1,5",1,"1,7",3,"3,5","3,4","1,2","1,4","1,1",1,"1,3",2019
Granada,Mediana,"1,7","1,5","2,1",1,"2,1","3,2","3,8","3,9","1,4","2,4","1,3","1,2","1,8",2019
Granada,Media,"1,6","1,6","1,9","1,3","2,1","3,2","3,7","3,7","1,6","2,1","1,3","1,3","2,1",2019
Granada,Cuartil_3,"1,9","1,9","2,3","1,6","2,4","3,4","4,3","4,3","2,1","2,8","1,5","1,4","2,8",2019
Granada,Maximo,"2,1","2,1","2,8","2,8","3,1","4,1","4,6","4,8","2,7","3,3","1,8","1,8","4,8",2019
Guadalajara,Minimo,1,1,1,1,1,"1,3","1,1",1,1,1,1,1,1,2019
Guadalajara,Cuartil_1,"1,4","1,4","2,3",1,"1,2","2,3",2,"2,7","1,2","1,1",1,1,1,2019
Guadalajara,Mediana,2,2,"2,7",1,"1,8","2,9",3,"3,5",2,"1,3",1,1,"1,9",2019
Guadalajara,Media,"1,8","1,9","2,6","1,2","1,8",3,"2,8","3,4","2,1","1,8",1,"1,1",2,2019
Guadalajara,Cuartil_3,"2,1","2,5",3,"1,1","2,1","3,6","3,7","4,2","2,8","2,5",1,"1,1","2,8",2019
Guadalajara,Maximo,"2,8","2,9","3,3","2,2",3,"4,8","4,6","4,9",4,"3,1","1,4","1,6","4,9",2019
Gipuzkoa,Minimo,1,1,1,1,1,1,1,1,1,1,1,1,1,2019
Gipuzkoa,Cuartil_1,1,1,"1,6",1,1,"1,1","1,8","1,7","1,8",1,1,1,1,2019
Gipuzkoa,Mediana,1,"2,2","2,4","1,8","1,2","2,3","2,5","2,5","2,1","1,8",1,"1,2","1,8",2019
Gipuzkoa,Media,"1,1","2,4","2,3","1,6","1,6","2,4","2,5","2,5","2,2","1,9","1,1","1,5","1,9",2019
Gipuzkoa,Cuartil_3,"1,1","3,4","2,9",2,2,"3,4","3,2","3,3","2,5","2,5",1,2,"2,6",2019
Gipuzkoa,Maximo,2,"4,4","4,5","3,3","3,1","4,9",5,"4,2","3,9","4,3","2,2","3,3",5,2019
Huelva,Minimo,1,1,1,1,"1,1",2,"1,3",2,1,1,1,1,1,2019
Huelva,Cuartil_1,"1,2","1,1","1,5",1,2,"2,8","2,5","3,7",2,"1,1",1,1,"1,1",2019
Huelva,Mediana,"1,5","1,3",2,"1,1","2,6","3,1","3,2","4,2","2,8","1,9",1,1,2,2019
Huelva,Media,"1,5","1,5",2,"1,4","2,7","3,2","3,2",4,"2,8",2,"1,3","1,1","2,2",2019
Huelva,Cuartil_3,"1,8",2,"2,5","1,8","3,1","3,7","3,6","4,5","3,6","2,6","1,6","1,1","3,1",2019
Huelva,Maximo,"2,3",2,"3,3","2,2","4,9","4,6","4,9",5,5,"4,4","2,2","1,5",5,2019
Huesca,Minimo,"1,1","1,1","1,2","1,1",1,"1,1","1,1",1,1,1,1,"1,1",1,2019
Huesca,Cuartil_1,"1,5","1,5","2,6","1,2","1,5","1,8",2,"2,9",2,"1,1","1,1","1,1","1,3",2019
Huesca,Mediana,"1,8","2,1","2,8","1,6",2,"2,6","2,8","3,3","2,5","1,6","1,1","1,1",2,2019
Huesca,Media,"1,9",2,"2,8","1,8",2,"2,7","3,1","3,3","2,6",2,"1,2","1,2","2,2",2019
Huesca,Cuartil_3,"2,1","2,4","3,2","2,3","2,6","3,6","4,4","4,2",3,3,"1,2","1,2","2,9",2019
Huesca,Maximo,3,3,"3,7","3,4",3,5,"4,8","4,6","4,5","3,8","1,7","1,4",5,2019
Jaen,Minimo,1,1,1,1,1,"2,6","2,1","1,5",1,1,1,1,1,2019
Jaen,Cuartil_1,"1,2","1,1",2,1,"1,8","3,5","3,8","4,1","1,3",1,1,1,1,2019
Jaen,Mediana,"1,7","1,6","2,4",1,"2,2","3,8","4,3","4,6","2,1",2,1,1,2,2019
Jaen,Media,"1,6","1,6","2,3","1,3","2,2","3,8","4,1","4,2","2,1","2,2",1,"1,1","2,3",2019
Jaen,Cuartil_3,"1,9",2,"2,7","1,6","2,6",4,"4,5","4,7","2,9","3,3",1,"1,2","3,4",2019
Jaen,Maximo,2,"2,5","3,5","2,4","3,6","4,5","4,9","4,9","3,9","3,8","1,1","1,8","4,9",2019
Leon,Minimo,"1,1","1,1","1,1","1,1","1,1",1,1,"1,3",1,1,1,"1,1",1,2019
Leon,Cuartil_1,"1,8","1,2","2,1","1,1","1,9","1,6","1,5","2,1","1,8",1,"1,1","1,1","1,2",2019
Leon,Mediana,"2,3","1,7","2,5","1,3","2,4","2,1","2,5","2,6",3,"1,2","1,1","1,2",2,2019
Leon,Media,"2,1","1,8","2,6","1,6","2,4","2,3","2,3","2,8","2,8","1,8","1,1","1,3","2,1",2019
Leon,Cuartil_3,"2,5","2,3",3,"2,1","2,9","2,7","2,7","3,3","3,6","2,4","1,1","1,4","2,7",2019
Leon,Maximo,"3,2","3,4","4,6","2,7","3,5","4,6","3,9","4,6","4,7","4,2","1,3","2,1","4,7",2019
Lleida,Minimo,"1,1","1,1","1,6","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1",2019
Lleida,Cuartil_1,"1,8","1,6","2,8","1,4","1,4","1,8",2,"3,1","1,5","1,5","1,1","1,1","1,4",2019
Lleida,Mediana,"2,1","2,3","3,1","1,6",2,"3,1","3,3","3,7","2,4","2,3","1,2","1,2","2,3",2019
Lleida,Media,"2,1","2,2","3,1",2,2,3,"3,2","3,6","2,4","2,3","1,3","1,2","2,4",2019
Lleida,Cuartil_3,"2,5","2,7","3,4","2,4","2,5",4,"4,3","4,3","3,1","3,2","1,5","1,3","3,2",2019
Lleida,Maximo,3,"3,4",4,"4,1","3,7","4,9","4,9","4,7",4,"4,2","2,1","1,5","4,9",2019
La Rioja,Minimo,1,1,"1,3",1,1,1,1,"1,1",1,1,1,1,1,2019
La Rioja,Cuartil_1,"1,1","1,2",2,1,"1,3","1,2","1,7",2,"1,3","1,2",1,1,"1,1",2019
La Rioja,Mediana,"1,8","2,2","2,9","1,1",2,"2,6","2,3","3,1","2,1","1,8",1,"1,2","1,9",2019
La Rioja,Media,"1,8",2,"2,7","1,4",2,"2,6","2,4","2,9","2,1","2,1","1,1","1,3",2,2019
La Rioja,Cuartil_3,"2,4","2,6","3,3","1,5","2,4","3,4","3,1","3,6","2,7","2,8","1,2","1,5","2,8",2019
La Rioja,Maximo,"3,2","3,5","3,9",3,"3,6","4,9","4,6","4,8","3,6","4,2",2,"2,2","4,9",2019
Lugo,Minimo,1,1,1,1,1,1,1,"1,1","1,1",1,1,1,1,2019
Lugo,Cuartil_1,1,"1,1","1,4","1,1","1,8","1,1","1,8","1,7","1,7",1,1,1,"1,1",2019
Lugo,Mediana,"1,6",2,"2,3","1,4","2,4","1,3","2,3","2,3",2,"1,2",1,"1,1","1,7",2019
Lugo,Media,"1,6","1,9","2,3","1,7","2,3","1,6","2,4","2,3","2,4","1,4",1,"1,2","1,9",2019
Lugo,Cuartil_3,"2,1","2,5","3,1","2,2","2,8","1,9","2,9",3,"3,4","1,8",1,"1,4","2,4",2019
Lugo,Maximo,"2,3",4,"3,8","3,3","4,2","4,8","3,7","4,4","4,3","3,7","1,5",2,"4,8",2019
Madrid,Minimo,1,1,1,1,"1,1","1,6","1,8",1,1,1,1,1,1,2019
Madrid,Cuartil_1,"1,5","1,3","2,1",1,"1,6","2,6","2,9","2,8","1,1",1,1,1,"1,1",2019
Madrid,Mediana,"1,7",2,"2,5",1,2,"3,2","3,5","3,6","2,1",1,1,1,2,2019
Madrid,Media,"1,7","1,8","2,3","1,3",2,"3,2","3,4","3,5","2,2","1,6","1,2","1,1","2,1",2019
Madrid,Cuartil_3,2,"2,2","2,8","1,7","2,2","3,7",4,"4,3",3,"2,2","1,3","1,1","2,7",2019
Madrid,Maximo,"2,3","2,3",3,"2,4","2,8","4,8","4,8",5,"4,5","2,6","1,6","1,4",5,2019
Malaga,Minimo,1,1,1,1,"1,1","2,2","2,3","1,2",1,1,1,1,1,2019
Malaga,Cuartil_1,"1,3","1,4","1,6",1,2,"3,5","3,9","3,3","1,3","1,7","1,1",1,"1,3",2019
Malaga,Mediana,"1,5","1,7",2,1,"2,6","3,9","4,2","4,2","2,2","2,5","1,2","1,2",2,2019
Malaga,Media,"1,6","1,7",2,"1,4","2,6","3,8","4,1","3,9","2,2","2,5","1,3","1,3","2,4",2019
Malaga,Cuartil_3,"1,9","1,8","2,3",2,"3,2","4,2","4,5","4,5","2,7","3,5","1,5","1,4","3,4",2019
Malaga,Maximo,"2,1","2,3","3,2","2,6","4,1","4,6","4,8",5,"4,2","4,3","1,9",2,5,2019
Murcia,Minimo,1,"1,3",1,1,1,"1,3",1,1,1,1,1,1,1,2019
Murcia,Cuartil_1,"1,5","1,6","1,9",1,"1,1","2,6","3,3",2,1,"1,1","1,4",1,"1,3",2019
Murcia,Mediana,"1,7","1,9","2,5","1,1","1,5","2,8","3,9","3,2","1,1","1,7",2,"1,2","1,8",2019
Murcia,Media,"1,8",2,"2,4","1,4","1,6","2,9","3,8","3,1","1,3","1,7",2,"1,3","2,1",2019
Murcia,Cuartil_3,"2,2","2,3","2,8","1,6","1,8","3,2","4,4","4,1","1,6","2,3","2,5","1,4","2,7",2019
Murcia,Maximo,"2,8",3,4,"2,5","3,7","4,5","4,9","4,8","2,3","3,2",3,2,"4,9",2019
Navarra,Minimo,1,1,"1,1",1,1,1,1,"1,2","1,1",1,1,1,1,2019
Navarra,Cuartil_1,"1,1",1,"1,7","1,1","1,2","1,4","2,1",2,2,1,1,1,"1,1",2019
Navarra,Mediana,"1,5","2,2","2,4","1,2","1,5","2,4","2,5","2,9","2,5","1,5",1,"1,2","1,8",2019
Navarra,Media,"1,6","1,9","2,3","1,5","1,8","2,6","2,7","2,8","2,5","1,8","1,1","1,3",2,2019
Navarra,Cuartil_3,2,"2,6","2,9","1,9","2,2","3,7","3,4","3,5","2,9","2,3",1,"1,4","2,6",2019
Navarra,Maximo,"2,8","3,2","3,8","3,3","3,6",5,5,"4,3",4,"3,7","1,4","2,3",5,2019
Ourense,Minimo,1,1,1,1,1,1,1,"1,1",1,1,1,1,1,2019
Ourense,Cuartil_1,"1,1",1,"1,6",1,"1,8","1,1","1,8","1,8","1,6",1,1,1,1,2019
Ourense,Mediana,"1,9","1,8","2,1","1,2","2,7","1,7","2,1","2,4","2,5","1,1",1,1,"1,8",2019
Ourense,Media,"1,7","1,8","2,3","1,5","2,4","1,9","2,3","2,4","2,5","1,5",1,"1,2","1,9",2019
Ourense,Cuartil_3,"2,3","2,4","2,9",2,"2,9","2,1","2,9",3,"3,5",2,1,"1,3","2,4",2019
Ourense,Maximo,"2,4","3,1",4,"2,5","3,8","4,2","3,7","4,5","4,7","3,3","1,1","1,9","4,7",2019
Asturias,Minimo,"1,1","1,1","1,1","1,1",1,1,1,1,1,1,1,"1,1",1,2019
Asturias,Cuartil_1,"1,1","1,4","1,8","1,2","1,5","1,1","1,7","1,8","1,6","1,1","1,1","1,1","1,2",2019
Asturias,Mediana,"1,9","2,1","2,7","1,6","2,1","1,3","2,3","2,3","2,1","1,7","1,1","1,3","1,8",2019
Asturias,Media,"1,8","2,3","2,6","1,8","2,2","1,7","2,3","2,5","2,1","1,9","1,2","1,6",2,2019
Asturias,Cuartil_3,"2,5","3,1","3,5","2,3","2,8","2,1","2,9","3,2","2,6","2,4","1,1","1,8","2,6",2019
Asturias,Maximo,"3,3","4,2","4,6","3,1","3,9","4,4",4,"4,3","3,2","4,1","2,1","2,9","4,6",2019
Palencia,Minimo,1,1,1,1,1,1,1,1,1,1,1,1,1,2019
Palencia,Cuartil_1,"1,4","1,1","2,1",1,"1,5","1,4","1,8","2,2","1,8",1,1,1,"1,1",2019
Palencia,Mediana,"1,9","1,7","2,5","1,3",2,"2,5","2,5",3,"2,4","1,2",1,"1,1","1,9",2019
Palencia,Media,"1,8","1,8","2,5","1,6","2,1","2,6","2,4","2,8","2,8","1,9",1,"1,1",2,2019
Palencia,Cuartil_3,"2,2","2,3","3,1","2,1","2,8","3,7",3,"3,7","3,8","2,6",1,"1,2","2,7",2019
Palencia,Maximo,"2,5","2,9","4,3","2,8","3,7","4,7","3,8","4,4","4,5","4,3","1,1","1,6","4,7",2019
Las Palmas,Minimo,1,"1,1",1,"1,1","1,7","1,3","1,9","1,6","1,3","1,4",1,1,1,2019
Las Palmas,Cuartil_1,"1,2","1,9","1,4","1,5","2,2","1,6","2,7","2,3","1,9","1,8","1,2","1,1","1,6",2019
Las Palmas,Mediana,"1,5","2,2","1,9","1,8","2,5","2,3",3,"2,9","2,3","2,3","2,3","1,3","2,2",2019
Las Palmas,Media,"1,5","2,3",2,2,"2,6","2,4",3,3,"2,3","2,4","2,3","1,5","2,3",2019
Las Palmas,Cuartil_3,"1,7","2,9","2,3","2,5",3,"2,9","3,4","3,7","2,6","2,7","3,1","1,9","2,9",2019
Las Palmas,Maximo,"2,9","4,3","3,5","3,5",4,"3,8","4,2","4,5","3,9","4,3","4,2","2,9","4,5",2019
Pontevedra,Minimo,1,1,1,1,1,1,1,1,1,1,1,1,1,2019
Pontevedra,Cuartil_1,1,1,"1,1",1,"1,7","1,1","1,6","1,8",1,1,1,1,1,2019
Pontevedra,Mediana,"1,6","1,6",2,"1,2","2,7","1,6","2,2","2,4","3,4",1,1,1,"1,6",2019
Pontevedra,Media,"1,6","1,7","2,2","1,6","2,4","1,7","2,2","2,3","2,8","1,2",1,"1,2","1,8",2019
Pontevedra,Cuartil_3,"2,1","2,3","2,9",2,3,"1,9","2,9","2,9","4,1","1,2",1,"1,5","2,3",2019
Pontevedra,Maximo,"2,5",3,"4,1",3,"4,2","4,3","3,5","3,6",5,"2,2",1,2,5,2019
Salamanca,Minimo,1,1,1,1,"1,2",1,1,1,1,1,1,1,1,2019
Salamanca,Cuartil_1,"1,1","1,1",2,1,2,"1,6","2,2","2,2","1,2",1,1,1,1,2019
Salamanca,Mediana,"1,5","1,8","2,1","1,2","2,1","2,3","2,5",3,"2,2",1,1,1,"1,9",2019
Salamanca,Media,"1,5","1,6","2,1","1,4","2,2","2,3","2,5","2,6","2,5","1,7",1,1,"1,9",2019
Salamanca,Cuartil_3,"1,9",2,"2,4","1,8","2,5","2,9","2,9","3,1","3,7",2,1,1,"2,4",2019
Salamanca,Maximo,2,"2,8",3,"2,5","3,5","3,7","3,8","3,6","4,9","4,4",1,"1,2","4,9",2019
Santa Cruz de Tenerife,Minimo,"1,1","1,2",1,1,"1,8","1,7","2,1","2,6","1,9","1,5","1,3","1,1",1,2019
Santa Cruz de Tenerife,Cuartil_1,"1,4","1,7","1,4","1,3","2,6","2,4","2,8","3,1","2,6","2,1","1,5","1,2","1,7",2019
Santa Cruz de Tenerife,Mediana,"2,3","2,5","2,2","1,8","2,9","2,6",3,"3,3","2,8","2,4","1,8","1,4","2,6",2019
Santa Cruz de Tenerife,Media,"2,2","2,6",2,"1,7","2,8","2,7","3,1","3,4","2,9","2,6",2,"1,7","2,5",2019
Santa Cruz de Tenerife,Cuartil_3,3,"3,2","2,5","2,1",3,"2,8","3,3","3,6","3,4","2,9","2,5","2,1",3,2019
Santa Cruz de Tenerife,Maximo,"3,8","4,8","3,1","2,5","3,3","4,4","4,1","4,6","3,8","4,5","3,1","3,3","4,8",2019
Cantabria,Minimo,"1,1","1,1","1,1","1,1",1,1,1,1,1,1,"1,1","1,1",1,2019
Cantabria,Cuartil_1,"1,1","1,6","1,7","1,1","1,3","1,1","1,8",2,"1,3","1,1","1,1","1,1","1,1",2019
Cantabria,Mediana,"1,2","2,1","2,5","1,6","1,8","2,2","2,4","2,8","1,8","1,8","1,1","1,3","1,8",2019
Cantabria,Media,"1,5","2,4","2,5","1,7",2,"2,4","2,5","2,7","1,9","1,9","1,2","1,6",2,2019
Cantabria,Cuartil_3,"1,8","3,3","3,1","2,1","2,3","3,7","3,3","3,6","2,4","2,3","1,3","1,9","2,7",2019
Cantabria,Maximo,"2,9","4,2","4,3",3,"3,8","4,2","4,5","4,4","3,7","4,7","1,9","2,7","4,7",2019
Segovia,Minimo,1,1,1,1,"1,1",1,"1,2","1,1",1,1,1,1,1,2019
Segovia,Cuartil_1,1,"1,3","2,3",1,"1,6","2,2","2,2","2,9","1,6",1,1,1,1,2019
Segovia,Mediana,"1,8",2,"2,8","1,2","2,1","3,3",3,"3,4","2,5","1,2",1,1,2,2019
Segovia,Media,"1,6",2,"2,6","1,4",2,"3,1",3,"3,3","2,5","1,9",1,"1,2","2,1",2019
Segovia,Cuartil_3,2,"2,5",3,"1,9","2,3","3,9","3,9",4,"3,2","2,6",1,"1,2",3,2019
Segovia,Maximo,"2,1","3,1","3,4","2,7","3,7",5,"4,8",5,"4,8","4,4","1,4","1,9",5,2019
Sevilla,Minimo,1,1,1,1,1,"2,5","1,6","1,2",1,1,1,1,1,2019
Sevilla,Cuartil_1,"1,2","1,1","1,6",1,"2,1","2,8","2,6","3,2","1,3","1,2",1,1,"1,1",2019
Sevilla,Mediana,"1,5","1,5",2,1,"2,6","3,1","3,1","3,5","1,8","1,8",1,1,"1,9",2019
