Provincia;Estadisticos;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Araba;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Araba;Cuartil_1;1;1;1,6;1;1;1,2;1,8;1,9;1,6;1;1;1;1
Araba;Mediana;1;2;2,6;1,5;1,6;2,4;2,6;2,9;2;1,7;1;1,1;1,8
Araba;Media;1,3;2;2,4;1,6;1,8;2,6;2,7;2,8;2,1;1,8;1,1;1,3;2
Araba;Cuartil_3;1,5;2,9;3;1,9;2,4;3,4;3,5;3,6;2,6;2;1,1;1,7;2,6
Araba;Maximo;2,3;3,4;4;3;3,8;5;4,9;4,6;3,9;4,1;1,9;2,5;5
Albacete;Minimo;1;1,5;1;1;1;1,4;1,1;1;1;1;1;1;1
Albacete;Cuartil_1;1,8;1,8;2,2;1;1,3;2,5;3;2,3;1;1,1;1,1;1;1,2
Albacete;Mediana;2;2;2,6;1,1;1,6;2,9;3,5;3,2;1,4;2;1,3;1,1;1,9
Albacete;Media;2;2,1;2,5;1,4;1,6;3;3,5;3,1;1,5;1,9;1,3;1,1;2,1
Albacete;Cuartil_3;2,2;2,3;2,8;1,7;1,9;3,2;4,2;3,9;1,9;2,5;1,6;1,2;2,7
Albacete;Maximo;2,9;2,9;3,8;2,7;3,4;4,6;5;5;2,9;3,1;2;1,6;5
Alicante;Minimo;1;1,2;1;1;1;1,2;1;1;1;1;1;1;1
Alicante;Cuartil_1;1,5;1,9;2,1;1;1,1;2,2;3,4;2,6;1;1;1,3;1;1,2
Alicante;Mediana;1,8;2,1;2,7;1,1;1,3;2,5;4;3,2;1,1;1,6;1,7;1,3;1,9
Alicante;Media;1,8;2,2;2,5;1,3;1,5;2,6;3,7;3,2;1,3;1,7;1,8;1,3;2,1
Alicante;Cuartil_3;2;2,3;2,9;1,3;1,7;2,8;4,3;4;1,6;2,2;2,2;1,5;2,7
Alicante;Maximo;3,4;3,5;4,4;2,5;3,8;4,3;4,8;4,8;2,5;3;3;2;4,8
Almeria;Minimo;1;1;1;1;1;1,8;1,3;1;1;1;1;1;1
Almeria;Cuartil_1;1,5;1,6;1,8;1;1,4;2,9;3,5;2,5;1,1;1,2;1,5;1,1;1,3
Almeria;Mediana;1,7;1,8;2,2;1,1;1,8;3,2;4;3,6;1,3;2,2;1,8;1,3;1,9
Almeria;Media;1,7;1,8;2,1;1,4;1,9;3,3;3,9;3,3;1,5;1,9;1,9;1,3;2,2
Almeria;Cuartil_3;2;2,1;2,5;1,7;2,3;3,5;4,3;4;1,8;2,5;2,3;1,5;2,7
Almeria;Maximo;2,5;2,4;3;2,5;3,1;4,4;4,8;4,9;2,3;3,1;2,7;1,8;4,9
Avila;Minimo;1;1;1;1;1,5;1,1;1,4;1,3;1;1;1;1;1
