Provincia,Niveles,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual,year
Zamora,Bajo,"35,48",50,"16,13","53,33","9,68","23,33","16,13","9,68","23,33","58,06",100,100,"41,1",2019
Zamora,Moderado,"64,52","46,43","58,06",40,"58,06","36,67","41,94","29,03","26,67","19,35",0,0,"35,07",2019
Zamora,Alto,0,"3,57","25,81","6,67","32,26","26,67","41,94","51,61",20,"19,35",0,0,"19,18",2019
Zamora,Muy_Alto,0,0,0,0,0,10,0,"9,68",20,"3,23",0,0,"3,56",2019
Zamora,Extremo,0,0,0,0,0,"3,33",0,0,10,0,0,0,"1,1",2019
Zaragoza,Bajo,"51,61",50,"6,45","63,33","19,35","16,67","19,35","6,45","23,33","51,61","93,33",100,"41,64",2019
Zaragoza,Moderado,"45,16","46,43","25,81",30,"48,39",30,"19,35","12,9","36,67","9,68","6,67",0,"25,75",2019
Zaragoza,Alto,"3,23","3,57","61,29","6,67","29,03","23,33","22,58","38,71",30,"35,48",0,0,"21,37",2019
Zaragoza,Muy_Alto,0,0,"6,45",0,"3,23","16,67","32,26","38,71","6,67","3,23",0,0,"9,04",2019
Zaragoza,Extremo,0,0,0,0,0,"13,33","6,45","3,23","3,33",0,0,0,"2,19",2019
Araba,Bajo,"54,84","20,69","48,39",70,"25,81","53,33","9,68","19,35","36,67","93,55","76,67",100,"50,82",2020
Araba,Moderado,"45,16","62,07","45,16","26,67","38,71",30,"12,9","12,9","6,67","6,45","23,33",0,"25,68",2020
Araba,Alto,0,"17,24","6,45","3,33","32,26","16,67","35,48","12,9","6,67",0,0,0,"10,93",2020
Araba,Muy_Alto,0,0,0,0,"3,23",0,"19,35","22,58",20,0,0,0,"5,46",2020
Araba,Extremo,0,0,0,0,0,0,"22,58","32,26",30,0,0,0,"7,1",2020
Albacete,Bajo,"74,19","62,07","54,84","93,33","32,26","13,33","6,45",0,"23,33","64,52","96,67",100,"51,64",2020
Albacete,Moderado,"25,81","24,14","38,71","6,67","54,84","46,67","22,58","16,13","43,33","29,03","3,33",0,"25,96",2020
Albacete,Alto,0,"13,79","6,45",0,"12,9","36,67","32,26","29,03","26,67",0,0,0,"13,11",2020
Albacete,Muy_Alto,0,0,0,0,0,"3,33","25,81","35,48","6,67","3,23",0,0,"6,28",2020
Albacete,Extremo,0,0,0,0,0,0,"12,9","19,35",0,"3,23",0,0,"3,01",2020
Alicante,Bajo,"93,55","68,97","51,61",90,"35,48",30,0,"22,58",40,"48,39","96,67","83,87","54,92",2020
Alicante,Moderado,"6,45","13,79","22,58",10,"61,29",50,"25,81","6,45",20,"32,26","3,33","16,13","22,4",2020
Alicante,Alto,0,"17,24","22,58",0,"3,23",20,"29,03","22,58","23,33","9,68",0,0,"12,3",2020
Alicante,Muy_Alto,0,0,0,0,0,0,"45,16","35,48","13,33","6,45",0,0,"8,47",2020
Alicante,Extremo,0,0,"3,23",0,0,0,0,"12,9","3,33","3,23",0,0,"1,91",2020
Almeria,Bajo,"77,42","65,52","51,61",100,"32,26","13,33",0,0,"26,67","41,94","96,67","96,77",50,2020
Almeria,Moderado,"22,58","34,48","38,71",0,"54,84","66,67","12,9","6,45","36,67","41,94","3,33","3,23","26,78",2020
