Provincia,Niveles,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual,year
Asturias,Alto,"19,35","31,03","22,58","3,33","29,03","13,33","32,26","16,13","13,33",0,"6,67",0,"15,57",2020
Asturias,Muy_Alto,"3,23","3,45",0,0,"22,58",0,"22,58","19,35","13,33","3,23",0,0,"7,38",2020
Asturias,Extremo,0,0,0,0,0,0,"6,45","6,45","3,33",0,0,0,"1,37",2020
Palencia,Bajo,"70,97","44,83","12,9","93,33","29,03","66,67","3,23","32,26","46,67","96,77",100,100,"57,92",2020
Palencia,Moderado,"29,03","51,72","80,65","6,67","45,16","33,33","12,9","12,9",20,0,0,0,"24,32",2020
Palencia,Alto,0,"3,45","6,45",0,"25,81",0,"51,61","22,58","13,33","3,23",0,0,"10,66",2020
Palencia,Muy_Alto,0,0,0,0,0,0,"22,58","16,13",20,0,0,0,"4,92",2020
Palencia,Extremo,0,0,0,0,0,0,"9,68","16,13",0,0,0,0,"2,19",2020
Las Palmas,Bajo,"45,16","10,34","41,94","53,33","6,45","13,33",0,0,30,"54,84","53,33","93,55","33,61",2020
Las Palmas,Moderado,"32,26","24,14","32,26","36,67","70,97",40,"29,03","38,71","43,33","29,03","33,33","6,45","34,7",2020
Las Palmas,Alto,"22,58","37,93","22,58",10,"19,35","43,33","58,06","25,81","16,67","12,9",10,0,"23,22",2020
Las Palmas,Muy_Alto,0,"24,14","3,23",0,"3,23","3,33","9,68","29,03",10,"3,23","3,33",0,"7,38",2020
Las Palmas,Extremo,0,"3,45",0,0,0,0,"3,23","6,45",0,0,0,0,"1,09",2020
Pontevedra,Bajo,"67,74","62,07","54,84","73,33","22,58",40,0,"51,61","43,33",100,100,100,"59,56",2020
Pontevedra,Moderado,"32,26","37,93","38,71","23,33","32,26",40,"6,45","12,9","3,33",0,0,0,"18,85",2020
Pontevedra,Alto,0,0,"6,45","3,33","38,71",20,"19,35",0,"23,33",0,0,0,"9,29",2020
Pontevedra,Muy_Alto,0,0,0,0,"6,45",0,"48,39","25,81","26,67",0,0,0,"9,02",2020
Pontevedra,Extremo,0,0,0,0,0,0,"25,81","9,68","3,33",0,0,0,"3,28",2020
Salamanca,Bajo,"96,77","48,28","64,52","96,67","38,71","46,67",0,"6,45","43,33","96,77",100,100,"61,48",2020
Salamanca,Moderado,"3,23","51,72","35,48","3,33","58,06","46,67","6,45","12,9","6,67",0,0,0,"18,58",2020
Salamanca,Alto,0,0,0,0,"3,23","6,67","29,03","22,58","13,33",0,0,0,"6,28",2020
Salamanca,Muy_Alto,0,0,0,0,0,0,"38,71","29,03","33,33",0,0,0,"8,47",2020
Salamanca,Extremo,0,0,0,0,0,0,"25,81","29,03","3,33","3,23",0,0,"5,19",2020
Santa Cruz de Tenerife,Bajo,"32,26",0,"32,26",60,"3,23",10,0,0,10,"74,19",70,100,"32,79",2020
Santa Cruz de Tenerife,Moderado,"41,94","41,38","29,03",40,"67,74","63,33",0,"9,68","33,33","25,81","26,67",0,"31,42",2020
Santa Cruz de Tenerife,Alto,"25,81","31,03","25,81",0,"9,68","26,67","51,61","32,26","46,67",0,"3,33",0,"21,04",2020
Santa Cruz de Tenerife,Muy_Alto,0,"27,59","12,9",0,"19,35",0,"45,16","38,71",10,0,0,0,"12,84",2020
Santa Cruz de Tenerife,Extremo,0,0,0,0,0,0,"3,23","19,35",0,0,0,0,"1,91",2020
Cantabria,Bajo,"48,39","27,59","35,48","53,33","29,03",60,"19,35","48,39","43,33","90,32","46,67","96,77",50,2020
Cantabria,Moderado,"32,26","58,62","51,61","36,67","19,35","33,33","22,58","12,9","13,33","6,45",20,0,"25,41",2020
Cantabria,Alto,"19,35","10,34","12,9",10,"32,26","6,67","29,03","6,45",10,0,30,"3,23","14,21",2020
Cantabria,Muy_Alto,0,"3,45",0,0,"19,35",0,"25,81","25,81","23,33","3,23","3,33",0,"8,74",2020
Cantabria,Extremo,0,0,0,0,0,0,"3,23","6,45",10,0,0,0,"1,64",2020
Segovia,Bajo,"61,29","41,38","35,48","93,33","35,48","53,33","3,23","16,13","43,33","96,77",100,100,"56,56",2020
Segovia,Moderado,"38,71","55,17","58,06","6,67","48,39","36,67","6,45","12,9",10,"3,23",0,0,"22,95",2020
Segovia,Alto,0,"3,45","6,45",0,"16,13",10,"35,48","16,13",20,0,0,0,"9,02",2020
Segovia,Muy_Alto,0,0,0,0,0,0,"38,71","29,03","23,33",0,0,0,"7,65",2020
Segovia,Extremo,0,0,0,0,0,0,"16,13","25,81","3,33",0,0,0,"3,83",2020
Sevilla,Bajo,100,"68,97","58,06",100,"35,48",10,"3,23","16,13",50,"74,19",100,100,"59,56",2020
Sevilla,Moderado,0,"31,03","35,48",0,"41,94","56,67","9,68","25,81",20,"16,13",0,0,"19,67",2020
Sevilla,Alto,0,0,"6,45",0,"22,58","23,33","38,71","19,35","16,67","3,23",0,0,"10,93",2020
Sevilla,Muy_Alto,0,0,0,0,0,10,"41,94","29,03","6,67","6,45",0,0,"7,92",2020
Sevilla,Extremo,0,0,0,0,0,0,"6,45","9,68","6,67",0,0,0,"1,91",2020
Soria,Bajo,"58,06","37,93","61,29","96,67","48,39",70,"3,23","6,45","43,33","96,77",100,100,"60,11",2020
Soria,Moderado,"41,94","48,28","38,71","3,33","35,48",30,"19,35","9,68","3,33","3,23",0,0,"19,4",2020
Soria,Alto,0,"13,79",0,0,"16,13",0,"29,03","12,9","23,33",0,0,0,"7,92",2020
Soria,Muy_Alto,0,0,0,0,0,0,"32,26","45,16","23,33",0,0,0,"8,47",2020
Soria,Extremo,0,0,0,0,0,0,"16,13","25,81","6,67",0,0,0,"4,1",2020
Tarragona,Bajo,"96,77","48,28","61,29",90,"48,39","53,33","6,45","12,9","26,67","61,29","93,33",100,"58,2",2020
Tarragona,Moderado,"3,23","37,93","22,58",10,"45,16","43,33","19,35","22,58","43,33","16,13","6,67",0,"22,4",2020
Tarragona,Alto,0,"10,34","12,9",0,"6,45","3,33","38,71","16,13","23,33","16,13",0,0,"10,66",2020
Tarragona,Muy_Alto,0,"3,45","3,23",0,0,0,"35,48","45,16","6,67","6,45",0,0,"8,47",2020
Tarragona,Extremo,0,0,0,0,0,0,0,"3,23",0,0,0,0,"0,27",2020
Teruel,Bajo,"45,16","37,93","58,06","96,67","38,71","56,67","9,68",0,"3,33","67,74","93,33",100,"50,55",2020
Teruel,Moderado,"54,84","48,28","35,48","3,33","45,16","43,33","22,58","9,68","23,33","19,35","6,67",0,"25,96",2020
Teruel,Alto,0,"13,79","6,45",0,"16,13",0,"32,26","9,68","46,67","9,68",0,0,"11,2",2020
Teruel,Muy_Alto,0,0,0,0,0,0,"19,35","54,84","23,33","3,23",0,0,"8,47",2020
Teruel,Extremo,0,0,0,0,0,0,"16,13","25,81","3,33",0,0,0,"3,83",2020
Toledo,Bajo,"96,77","68,97","58,06",90,"29,03",20,0,"19,35","53,33","96,77",100,100,"60,93",2020
Toledo,Moderado,"3,23","31,03","41,94",10,"61,29",50,"9,68","16,13","16,67","3,23",0,0,"20,22",2020
Toledo,Alto,0,0,0,0,"9,68","26,67","32,26","32,26","16,67",0,0,0,"9,84",2020
Toledo,Muy_Alto,0,0,0,0,0,"3,33","41,94","22,58","13,33",0,0,0,"6,83",2020
Toledo,Extremo,0,0,0,0,0,0,"16,13","9,68",0,0,0,0,"2,19",2020
Valencia,Bajo,"83,87","62,07","51,61",90,"29,03",20,"16,13","9,68","23,33","64,52",100,100,"54,1",2020
Valencia,Moderado,"16,13","24,14","22,58","6,67","41,94","43,33","22,58","22,58","36,67","29,03",0,0,"22,13",2020
Valencia,Alto,0,"13,79","22,58","3,33","29,03","36,67","25,81","22,58","26,67",0,0,0,"15,03",2020
Valencia,Muy_Alto,0,0,"3,23",0,0,0,"35,48","38,71","13,33","3,23",0,0,"7,92",2020
Valencia,Extremo,0,0,0,0,0,0,0,"6,45",0,"3,23",0,0,"0,82",2020
Valladolid,Bajo,"93,55","55,17","32,26","86,67","35,48",60,"3,23","29,03","53,33","96,77",100,100,"62,02",2020
Valladolid,Moderado,"6,45","44,83","67,74","13,33","48,39","33,33","12,9","9,68","6,67",0,0,0,"20,22",2020
Valladolid,Alto,0,0,0,0,"16,13","6,67","25,81","16,13","16,67","3,23",0,0,"7,1",2020
Valladolid,Muy_Alto,0,0,0,0,0,0,"45,16","19,35","23,33",0,0,0,"7,38",2020
Valladolid,Extremo,0,0,0,0,0,0,"12,9","25,81",0,0,0,0,"3,28",2020
Bizkaia,Bajo,"58,06","41,38","54,84","66,67","29,03","63,33","25,81","35,48","43,33","93,55","53,33","96,77","55,19",2020
Bizkaia,Moderado,"32,26","44,83","32,26","16,67","29,03","16,67","16,13","16,13","6,67","6,45","26,67","3,23","20,49",2020
Bizkaia,Alto,"9,68","10,34","12,9","13,33","32,26",20,"22,58","9,68",10,0,"16,67",0,"13,11",2020
Bizkaia,Muy_Alto,0,"3,45",0,"3,33","9,68",0,"22,58","16,13",20,0,"3,33",0,"6,56",2020
Bizkaia,Extremo,0,0,0,0,0,0,"12,9","22,58",20,0,0,0,"4,64",2020
Zamora,Bajo,"96,77","62,07","38,71",100,"35,48","56,67",0,"16,13","53,33","96,77",100,100,"62,84",2020
Zamora,Moderado,"3,23","37,93","61,29",0,"54,84","36,67","3,23","16,13","6,67",0,0,0,"18,31",2020
Zamora,Alto,0,0,0,0,"9,68","6,67","29,03","25,81",20,0,0,0,"7,65",2020
Zamora,Muy_Alto,0,0,0,0,0,0,"51,61","25,81",20,"3,23",0,0,"8,47",2020
Zamora,Extremo,0,0,0,0,0,0,"16,13","16,13",0,0,0,0,"2,73",2020
Zaragoza,Bajo,100,"41,38","64,52","93,33","38,71","73,33","6,45",0,30,"70,97",100,100,"59,84",2020
Zaragoza,Moderado,0,"55,17","35,48","6,67","45,16","26,67","19,35",0,"13,33","22,58",0,0,"18,58",2020
Zaragoza,Alto,0,"3,45",0,0,"16,13",0,"32,26","32,26","23,33","6,45",0,0,"9,56",2020
Zaragoza,Muy_Alto,0,0,0,0,0,0,"38,71","45,16","33,33",0,0,0,"9,84",2020
Zaragoza,Extremo,0,0,0,0,0,0,"3,23","22,58",0,0,0,0,"2,19",2020
Araba,Bajo,100,"85,71","83,87",40,"70,97",60,"25,81","3,23","63,33","51,61",100,100,"65,21",2021
Araba,Moderado,0,"7,14","6,45","13,33","9,68",10,"16,13","12,9",10,"32,26",0,0,"9,86",2021
Araba,Alto,0,"7,14","6,45","33,33","16,13","26,67","12,9","12,9","6,67","12,9",0,0,"11,23",2021
Araba,Muy_Alto,0,0,"3,23","13,33","3,23","3,33","38,71","35,48","6,67","3,23",0,0,"9,04",2021
Araba,Extremo,0,0,0,0,0,0,"6,45","35,48","13,33",0,0,0,"4,66",2021
Albacete,Bajo,100,100,100,90,"77,42","63,33","6,45","6,45","73,33","96,77",100,100,"75,89",2021
Albacete,Moderado,0,0,0,10,"12,9","23,33","9,68","32,26",20,"3,23",0,0,"9,32",2021
Albacete,Alto,0,0,0,0,"9,68",10,"35,48","25,81",0,0,0,0,"6,85",2021
Albacete,Muy_Alto,0,0,0,0,0,"3,33","22,58","12,9","6,67",0,0,0,"3,84",2021
Albacete,Extremo,0,0,0,0,0,0,"25,81","22,58",0,0,0,0,"4,11",2021
Alicante,Bajo,"77,42","85,71",100,100,"83,87",60,"12,9","9,68","63,33",100,100,100,"74,25",2021
Alicante,Moderado,"12,9","10,71",0,0,"12,9","33,33","9,68","32,26",20,0,0,0,"10,96",2021
Alicante,Alto,"9,68","3,57",0,0,"3,23","3,33","41,94","25,81","16,67",0,0,0,"8,77",2021
Alicante,Muy_Alto,0,0,0,0,0,"3,33","32,26","32,26",0,0,0,0,"5,75",2021
Alicante,Extremo,0,0,0,0,0,0,"3,23",0,0,0,0,0,"0,27",2021
Almeria,Bajo,"90,32",100,"96,77",100,"80,65","56,67","6,45",0,"46,67","77,42","86,67","96,77","69,59",2021
Almeria,Moderado,"9,68",0,"3,23",0,"19,35",30,"22,58","35,48",30,"22,58","13,33","3,23","15,89",2021
Almeria,Alto,0,0,0,0,0,"13,33","35,48","32,26",10,0,0,0,"7,67",2021
Almeria,Muy_Alto,0,0,0,0,0,0,"29,03","32,26","13,33",0,0,0,"6,3",2021
Almeria,Extremo,0,0,0,0,0,0,"6,45",0,0,0,0,0,"0,55",2021
Avila,Bajo,100,100,"96,77",90,"96,77",70,"9,68","6,45",80,100,100,100,"78,9",2021
Avila,Moderado,0,0,"3,23",10,"3,23",20,"9,68","9,68",10,0,0,0,"5,48",2021
Avila,Alto,0,0,0,0,0,10,"32,26","19,35","3,33",0,0,0,"5,48",2021
Avila,Muy_Alto,0,0,0,0,0,0,"29,03","45,16","6,67",0,0,0,"6,85",2021
Avila,Extremo,0,0,0,0,0,0,"19,35","19,35",0,0,0,0,"3,29",2021
Badajoz,Bajo,100,100,"96,77",90,"83,87",50,0,"19,35",80,100,100,100,"76,44",2021
Badajoz,Moderado,0,0,0,10,"9,68",20,"25,81","12,9","3,33",0,0,0,"6,85",2021
Badajoz,Alto,0,0,"3,23",0,"6,45","16,67","25,81","22,58",10,0,0,0,"7,12",2021
Badajoz,Muy_Alto,0,0,0,0,0,10,"32,26","25,81","6,67",0,0,0,"6,3",2021
Badajoz,Extremo,0,0,0,0,0,"3,33","16,13","19,35",0,0,0,0,"3,29",2021
Illes Balears,Bajo,100,"85,71","83,87","83,33","83,87","66,67","3,23","6,45",80,100,100,100,"74,25",2021
Illes Balears,Moderado,0,"10,71","16,13","13,33","16,13","26,67","51,61","35,48","6,67",0,0,0,"14,79",2021
Illes Balears,Alto,0,"3,57",0,"3,33",0,"6,67","22,58","35,48",10,0,0,0,"6,85",2021
Illes Balears,Muy_Alto,0,0,0,0,0,0,"22,58","19,35","3,33",0,0,0,"3,84",2021
Illes Balears,Extremo,0,0,0,0,0,0,0,"3,23",0,0,0,0,"0,27",2021
Barcelona,Bajo,100,"92,86","74,19",70,"58,06","26,67",0,"19,35","66,67","87,1",90,"96,77","64,93",2021
Barcelona,Moderado,0,"7,14","19,35",10,"25,81",20,"12,9","19,35",30,"12,9",10,"3,23","14,25",2021
Barcelona,Alto,0,0,"6,45","16,67","16,13","36,67","16,13","32,26","3,33",0,0,0,"10,68",2021
Barcelona,Muy_Alto,0,0,0,"3,33",0,10,"45,16","19,35",0,0,0,0,"6,58",2021
Barcelona,Extremo,0,0,0,0,0,"6,67","25,81","9,68",0,0,0,0,"3,56",2021
Burgos,Bajo,100,"96,43","90,32","63,33","83,87",70,"9,68","9,68",70,"80,65",100,100,"72,6",2021
Burgos,Moderado,0,"3,57","6,45","36,67","16,13","23,33","29,03","3,23","3,33","19,35",0,0,"11,78",2021
Burgos,Alto,0,0,"3,23",0,0,"6,67","25,81","12,9","13,33",0,0,0,"5,21",2021
Burgos,Muy_Alto,0,0,0,0,0,0,"29,03","51,61","6,67",0,0,0,"7,4",2021
Burgos,Extremo,0,0,0,0,0,0,"6,45","22,58","6,67",0,0,0,"3,01",2021
Caceres,Bajo,100,100,"96,77",100,"93,55","63,33","9,68","3,23","83,33",100,100,100,"78,9",2021
Caceres,Moderado,0,0,0,0,"6,45","13,33","12,9","16,13","6,67",0,0,0,"4,66",2021
Caceres,Alto,0,0,"3,23",0,0,"16,67","38,71","29,03","6,67",0,0,0,"7,95",2021
Caceres,Muy_Alto,0,0,0,0,0,"6,67","29,03","32,26","3,33",0,0,0,"6,03",2021
Caceres,Extremo,0,0,0,0,0,0,"9,68","19,35",0,0,0,0,"2,47",2021
Cadiz,Bajo,100,100,"87,1",100,"87,1",60,"3,23","19,35",60,"74,19","93,33","96,77","73,15",2021
Cadiz,Moderado,0,0,"9,68",0,"6,45","23,33","19,35","35,48","26,67","19,35","6,67","3,23","12,6",2021
Cadiz,Alto,0,0,"3,23",0,"6,45","13,33","45,16","32,26",0,"6,45",0,0,"9,04",2021
Cadiz,Muy_Alto,0,0,0,0,0,"3,33","25,81","12,9","13,33",0,0,0,"4,66",2021
Cadiz,Extremo,0,0,0,0,0,0,"6,45",0,0,0,0,0,"0,55",2021
Castellon,Bajo,100,"96,43",100,"96,67",100,80,"32,26","45,16",100,100,"93,33",100,"86,85",2021
Castellon,Moderado,0,0,0,"3,33",0,"13,33","29,03","35,48",0,0,"6,67",0,"7,4",2021
Castellon,Alto,0,"3,57",0,0,0,"6,67","22,58","16,13",0,0,0,0,"4,11",2021
Castellon,Muy_Alto,0,0,0,0,0,0,"12,9","3,23",0,0,0,0,"1,37",2021
Castellon,Extremo,0,0,0,0,0,0,"3,23",0,0,0,0,0,"0,27",2021
Ciudad Real,Bajo,100,100,"93,55",90,"90,32","56,67",0,"9,68",70,100,100,100,"75,62",2021
Ciudad Real,Moderado,0,0,"6,45",10,"3,23",10,"16,13","19,35","13,33",0,0,0,"6,58",2021
Ciudad Real,Alto,0,0,0,0,"6,45",20,"19,35","19,35","13,33",0,0,0,"6,58",2021
Ciudad Real,Muy_Alto,0,0,0,0,0,"13,33","32,26","32,26","3,33",0,0,0,"6,85",2021
Ciudad Real,Extremo,0,0,0,0,0,0,"32,26","19,35",0,0,0,0,"4,38",2021
Cordoba,Bajo,100,100,"96,77",90,"93,55","53,33",0,"16,13","76,67",100,100,100,"76,99",2021
Cordoba,Moderado,0,0,0,10,"3,23","13,33","6,45","29,03","3,33",0,0,0,"5,48",2021
Cordoba,Alto,0,0,"3,23",0,"3,23",20,"29,03","12,9",10,0,0,0,"6,58",2021
Cordoba,Muy_Alto,0,0,0,0,0,"13,33","38,71","22,58","6,67",0,0,0,"6,85",2021
Cordoba,Extremo,0,0,0,0,0,0,"25,81","19,35","3,33",0,0,0,"4,11",2021
A Coruña,Bajo,100,"96,43","54,84","53,33","93,55","63,33","83,87","38,71",80,"80,65",80,100,"76,99",2021
A Coruña,Moderado,0,"3,57","38,71",20,"3,23","13,33","16,13","22,58",10,"19,35",20,0,"13,97",2021
A Coruña,Alto,0,0,"6,45","23,33","3,23","13,33",0,"29,03","3,33",0,0,0,"6,58",2021
A Coruña,Muy_Alto,0,0,0,"3,33",0,10,0,"9,68","3,33",0,0,0,"2,19",2021
A Coruña,Extremo,0,0,0,0,0,0,0,0,"3,33",0,0,0,"0,27",2021
Cuenca,Bajo,100,100,"90,32",90,"93,55","73,33","6,45","6,45","86,67",100,100,100,"78,63",2021
Cuenca,Moderado,0,0,"9,68",10,"6,45","23,33","25,81","22,58","13,33",0,0,0,"9,32",2021
Cuenca,Alto,0,0,0,0,0,"3,33","19,35","35,48",0,0,0,0,"4,93",2021
Cuenca,Muy_Alto,0,0,0,0,0,0,"29,03","16,13",0,0,0,0,"3,84",2021
Cuenca,Extremo,0,0,0,0,0,0,"19,35","19,35",0,0,0,0,"3,29",2021
Girona,Bajo,100,100,"70,97","53,33","96,77","23,33",0,"16,13","56,67","29,03","86,67","96,77","60,55",2021
Girona,Moderado,0,0,"29,03","23,33","3,23",40,"29,03","19,35",30,"45,16","3,33","3,23","18,9",2021
Girona,Alto,0,0,0,"23,33",0,20,"25,81","32,26","13,33","19,35",10,0,"12,05",2021
Girona,Muy_Alto,0,0,0,0,0,"16,67","38,71","25,81",0,"6,45",0,0,"7,4",2021
Girona,Extremo,0,0,0,0,0,0,"6,45","6,45",0,0,0,0,"1,1",2021
Granada,Bajo,100,100,"90,32",90,"77,42",50,0,0,40,"77,42",90,100,"67,67",2021
Granada,Moderado,0,0,"9,68",10,"19,35",20,"3,23","6,45",30,"19,35",10,0,"10,68",2021
Granada,Alto,0,0,0,0,"3,23",30,"22,58","41,94","13,33","3,23",0,0,"9,59",2021
Granada,Muy_Alto,0,0,0,0,0,0,"35,48","29,03",10,0,0,0,"6,3",2021
Granada,Extremo,0,0,0,0,0,0,"38,71","22,58","6,67",0,0,0,"5,75",2021
Guadalajara,Bajo,100,100,"87,1","86,67","96,77","83,33","6,45","9,68","83,33",100,100,100,"79,18",2021
Guadalajara,Moderado,0,0,"12,9","3,33","3,23","13,33","16,13","6,45","16,67",0,0,0,"6,03",2021
Guadalajara,Alto,0,0,0,10,0,"3,33","22,58","38,71",0,0,0,0,"6,3",2021
Guadalajara,Muy_Alto,0,0,0,0,0,0,"45,16","25,81",0,0,0,0,"6,03",2021
Guadalajara,Extremo,0,0,0,0,0,0,"9,68","19,35",0,0,0,0,"2,47",2021
Gipuzkoa,Bajo,"96,77","78,57","67,74","26,67","77,42","63,33","45,16","32,26","66,67","54,84",100,"80,65","65,75",2021
Gipuzkoa,Moderado,"3,23","7,14","19,35",10,"12,9",10,"32,26","16,13","3,33","16,13",0,"16,13","12,33",2021
Gipuzkoa,Alto,0,"7,14","3,23",20,"6,45","13,33","22,58","29,03","13,33","12,9",0,"3,23","10,96",2021
Gipuzkoa,Muy_Alto,0,"7,14","3,23","23,33","3,23",10,0,"19,35","3,33","16,13",0,0,"7,12",2021
Gipuzkoa,Extremo,0,0,"6,45",20,0,"3,33",0,"3,23","13,33",0,0,0,"3,84",2021
Huelva,Bajo,100,100,"96,77",100,"87,1","53,33","3,23","22,58","73,33",100,100,100,"77,81",2021
Huelva,Moderado,0,0,"3,23",0,"6,45",30,"22,58","19,35",10,0,0,0,"7,67",2021
Huelva,Alto,0,0,0,0,0,10,"29,03","25,81","6,67",0,0,0,"6,03",2021
Huelva,Muy_Alto,0,0,0,0,"6,45","6,67","29,03","19,35",10,0,0,0,"6,03",2021
Huelva,Extremo,0,0,0,0,0,0,"16,13","12,9",0,0,0,0,"2,47",2021
Huesca,Bajo,100,"96,43","54,84","63,33","58,06",60,"3,23","6,45",80,"38,71","63,33",100,60,2021
Huesca,Moderado,0,"3,57","35,48",10,"35,48","23,33","9,68","12,9","16,67","61,29","36,67",0,"20,55",2021
Huesca,Alto,0,0,"9,68","13,33","6,45","13,33","48,39","32,26","3,33",0,0,0,"10,68",2021
Huesca,Muy_Alto,0,0,0,"13,33",0,"3,33","22,58","22,58",0,0,0,0,"5,21",2021
Huesca,Extremo,0,0,0,0,0,0,"16,13","25,81",0,0,0,0,"3,56",2021
Jaen,Bajo,100,100,"96,77",90,"96,77","56,67",0,"6,45","43,33","90,32",100,100,"73,15",2021
Jaen,Moderado,0,0,"3,23",10,"3,23","16,67","6,45","12,9","33,33","9,68",0,0,"7,95",2021
Jaen,Alto,0,0,0,0,0,"23,33","16,13","25,81","16,67",0,0,0,"6,85",2021
Jaen,Muy_Alto,0,0,0,0,0,"3,33","48,39","29,03","3,33",0,0,0,"7,12",2021
Jaen,Extremo,0,0,0,0,0,0,"29,03","25,81","3,33",0,0,0,"4,93",2021
Leon,Bajo,100,100,"83,87","66,67","96,77","76,67","25,81","3,23","76,67","80,65","96,67",100,"75,34",2021
Leon,Moderado,0,0,"16,13","33,33","3,23","16,67","22,58","3,23","6,67","19,35","3,33",0,"10,41",2021
Leon,Alto,0,0,0,0,0,"6,67","22,58","22,58","3,33",0,0,0,"4,66",2021
Leon,Muy_Alto,0,0,0,0,0,0,"25,81","54,84","13,33",0,0,0,"7,95",2021
Leon,Extremo,0,0,0,0,0,0,"3,23","16,13",0,0,0,0,"1,64",2021
Lleida,Bajo,100,"96,43","64,52","63,33","48,39",60,"6,45","3,23","73,33","29,03",90,100,"60,82",2021
Lleida,Moderado,0,"3,57","25,81","3,33","41,94",20,"12,9","29,03",20,"67,74",10,0,"19,73",2021
Lleida,Alto,0,0,"9,68",30,"9,68",10,"29,03","16,13","6,67","3,23",0,0,"9,59",2021
Lleida,Muy_Alto,0,0,0,"3,33",0,10,"35,48","22,58",0,0,0,0,"6,03",2021
Lleida,Extremo,0,0,0,0,0,0,"16,13","29,03",0,0,0,0,"3,84",2021
La Rioja,Bajo,100,"85,71","90,32","56,67","80,65","56,67","3,23","6,45",60,"51,61",100,100,"65,75",2021
La Rioja,Moderado,0,"10,71",0,10,"16,13","23,33","19,35","3,23","16,67","38,71",0,0,"11,51",2021
La Rioja,Alto,0,"3,57","6,45","33,33","3,23","16,67","9,68","9,68","13,33","9,68",0,0,"8,77",2021
La Rioja,Muy_Alto,0,0,"3,23",0,0,"3,33","29,03","32,26",10,0,0,0,"6,58",2021
La Rioja,Extremo,0,0,0,0,0,0,"38,71","48,39",0,0,0,0,"7,4",2021
Lugo,Bajo,100,"96,43","64,52","53,33","83,87",60,"41,94","12,9",70,"74,19","96,67",100,"70,96",2021
Lugo,Moderado,0,"3,57","25,81","6,67","12,9","23,33","29,03","25,81","16,67","25,81","3,33",0,"14,52",2021
Lugo,Alto,0,0,"9,68",40,"3,23",10,"29,03","29,03","6,67",0,0,0,"10,68",2021
Lugo,Muy_Alto,0,0,0,0,0,"6,67",0,"32,26","3,33",0,0,0,"3,56",2021
Lugo,Extremo,0,0,0,0,0,0,0,0,"3,33",0,0,0,"0,27",2021
Madrid,Bajo,100,100,"93,55",90,"96,77","66,67","12,9","6,45","86,67",100,100,100,"79,18",2021
Madrid,Moderado,0,0,"6,45",10,"3,23","23,33","19,35","9,68","13,33",0,0,0,"7,12",2021
Madrid,Alto,0,0,0,0,0,10,"12,9","35,48",0,0,0,0,"4,93",2021
Madrid,Muy_Alto,0,0,0,0,0,0,"38,71","38,71",0,0,0,0,"6,58",2021
Madrid,Extremo,0,0,0,0,0,0,"16,13","9,68",0,0,0,0,"2,19",2021
Malaga,Bajo,100,100,"96,77",100,"96,77",40,0,"25,81","56,67","96,77","76,67","87,1","72,88",2021
Malaga,Moderado,0,0,"3,23",0,"3,23",40,"6,45","19,35","13,33","3,23",20,"12,9","10,14",2021
Malaga,Alto,0,0,0,0,0,10,"32,26","22,58",10,0,"3,33",0,"6,58",2021
Malaga,Muy_Alto,0,0,0,0,0,10,"41,94","25,81",20,0,0,0,"8,22",2021
Malaga,Extremo,0,0,0,0,0,0,"19,35","6,45",0,0,0,0,"2,19",2021
Murcia,Bajo,"83,87","92,86",100,100,"67,74",60,"6,45",0,"56,67",100,"96,67",100,"71,78",2021
Murcia,Moderado,"16,13","7,14",0,0,"25,81","16,67","12,9","35,48","26,67",0,"3,33",0,"12,05",2021
Murcia,Alto,0,0,0,0,"6,45",20,"41,94","32,26",10,0,0,0,"9,32",2021
Murcia,Muy_Alto,0,0,0,0,0,0,"32,26","29,03","6,67",0,0,0,"5,75",2021
Murcia,Extremo,0,0,0,0,0,"3,33","6,45","3,23",0,0,0,0,"1,1",2021
Navarra,Bajo,100,"89,29","87,1","43,33","83,87",60,"9,68","3,23",70,"51,61",100,100,"66,3",2021
Navarra,Moderado,0,"3,57","3,23","6,67","12,9",30,"12,9","19,35",20,"32,26",0,0,"11,78",2021
Navarra,Alto,0,"7,14","3,23",30,0,"6,67","41,94","22,58","3,33","16,13",0,0,"10,96",2021
Navarra,Muy_Alto,0,0,"6,45",20,"3,23","3,33","29,03","41,94","6,67",0,0,0,"9,32",2021
Navarra,Extremo,0,0,0,0,0,0,"6,45","12,9",0,0,0,0,"1,64",2021
Ourense,Bajo,100,100,"64,52","76,67","93,55","66,67","41,94","9,68",80,"80,65","93,33",100,"75,34",2021
Ourense,Moderado,0,0,"29,03","23,33","6,45",20,"16,13","16,13","13,33","19,35","6,67",0,"12,6",2021
Ourense,Alto,0,0,"6,45",0,0,"13,33","35,48","25,81",0,0,0,0,"6,85",2021
Ourense,Muy_Alto,0,0,0,0,0,0,"6,45","45,16","3,33",0,0,0,"4,66",2021
Ourense,Extremo,0,0,0,0,0,0,0,"3,23","3,33",0,0,0,"0,55",2021
Asturias,Bajo,100,"85,71","61,29",40,"77,42",70,"61,29","16,13","66,67","51,61",90,"74,19","66,03",2021
Asturias,Moderado,0,"14,29","25,81","13,33","12,9","13,33","19,35","25,81",20,"16,13",10,"22,58","16,16",2021
