Provincia;Estadisticos;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Granada;Cuartil_1;1;1;1;1;1;1;3,5;3;1,1;1;1;1;1
Granada;Mediana;1;1;1;1;1;1,4;4,1;3,9;1,8;1,2;1,1;1,1;1,1
Granada;Media;1;1;1,1;1,1;1,3;1,8;4,1;3,7;2,1;1,3;1,2;1,1;1,7
Granada;Cuartil_3;1;1;1;1;1,4;2,6;4,7;4,3;2,8;1,4;1,2;1,2;2
Granada;Maximo;1,1;1,1;2,1;1,6;2,8;3,5;5;4,9;4,8;2,7;1,8;1,3;5
Guadalajara;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Guadalajara;Cuartil_1;1;1;1;1;1;1;2,9;2,8;1;1;1;1;1
Guadalajara;Mediana;1;1;1;1;1;1;3,6;3,4;1;1;1;1;1
Guadalajara;Media;1;1;1,2;1,2;1;1,2;3,3;3,4;1,2;1;1;1;1,5
Guadalajara;Cuartil_3;1;1;1;1;1;1,2;4,1;4,3;1,1;1;1;1;1,1
Guadalajara;Maximo;1;1,3;2,4;2,6;2,1;3,2;5;5;2,2;1,4;1;1;5
Gipuzkoa;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Gipuzkoa;Cuartil_1;1;1;1;1,4;1;1;1;1,3;1;1;1;1;1
Gipuzkoa;Mediana;1;1;1;3,1;1;1;1,6;2,6;1,1;1,1;1;1;1
Gipuzkoa;Media;1;1,5;1,6;3;1,4;1,8;1,7;2,5;1,9;1,9;1;1,3;1,7
Gipuzkoa;Cuartil_3;1;1,4;1,8;4,1;1,4;2,6;2,5;3,3;2,6;2,7;1;1,4;2,1
Gipuzkoa;Maximo;2;4,4;4,9;5;4,1;4,6;3,2;4,5;5;4,5;1,3;2,7;5
Huelva;Minimo;1;1;1;1;1;1;1,4;1;1;1;1;1;1
Huelva;Cuartil_1;1;1;1;1;1;1;2,6;1,6;1;1;1;1;1
Huelva;Mediana;1;1;1;1;1;1,3;3,5;2,9;1;1;1;1;1
Huelva;Media;1;1;1,1;1;1,3;1,7;3,3;2,8;1,6;1;1;1;1,5
Huelva;Cuartil_3;1;1;1;1;1,2;2,2;4,3;3,7;1,9;1;1;1;1,3
Huelva;Maximo;1;1;2,4;1,1;4,1;4,1;5;5;4,3;1,4;1,4;1;5
Huesca;Minimo;1;1;1;1;1;1;1,2;1,1;1;1;1;1;1
Huesca;Cuartil_1;1;1;1;1;1;1;2,9;3;1;1,2;1;1;1
Huesca;Mediana;1;1;1,3;1,2;1,2;1,3;3,5;3,5;1,1;1,8;1,3;1;1,2
Huesca;Media;1;1;1,6;1,8;1,5;1,6;3,4;3,5;1,3;1,7;1,3;1,1;1,7
Huesca;Cuartil_3;1;1;2;2,6;2;1,9;4,1;4,5;1,3;2,1;1,7;1,1;2,2
Huesca;Maximo;1;1,9;3,4;4,2;2,7;4,3;5;4,9;2,8;2,4;2,2;1,2;5
Jaen;Minimo;1;1;1;1;1;1;2,2;1,2;1;1;1;1;1
Jaen;Cuartil_1;1;1;1;1;1;1;3,6;2,9;1;1;1;1;1
Jaen;Mediana;1;1;1;1;1;1,3;4,2;3,6;1,6;1;1;1;1
Jaen;Media;1;1;1,1;1,1;1,1;1,8;4;3,5;1,9;1,2;1;1;1,6
Jaen;Cuartil_3;1;1;1;1;1;2,5;4,7;4,5;2,2;1,2;1;1;1,6
Jaen;Maximo;1;1;2,1;1,6;1,7;3,5;5;5;4,9;2,1;1,1;1;5
Leon;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Leon;Cuartil_1;1;1;1;1;1;1;1,5;3,5;1;1;1;1;1
Leon;Mediana;1;1;1;1;1;1;2,7;3,8;1;1;1;1;1
Leon;Media;1;1;1,2;1,4;1,1;1,3;2,5;3,7;1,6;1,3;1,1;1;1,5
Leon;Cuartil_3;1;1;1,2;1,8;1;1,4;3,5;4,3;1,4;1,3;1,3;1;1,5
Leon;Maximo;1;1;2,3;2,3;2;3,1;4,6;4,9;4,2;2,2;1,6;1,1;4,9
Lleida;Minimo;1;1;1;1;1;1;1;1,1;1;1;1;1;1
Lleida;Cuartil_1;1;1;1;1;1,1;1,1;3;2,2;1;1,4;1;1;1
Lleida;Mediana;1;1;1,1;1,1;1,6;1,4;3,7;3,5;1,1;2,1;1;1;1,2
Lleida;Media;1;1,1;1,5;1,8;1,6;1,8;3,4;3,3;1,3;1,9;1,2;1,1;1,8
Lleida;Cuartil_3;1;1;1,8;2,8;2,1;2,2;4,1;4,5;1,5;2,3;1,4;1,2;2,2
Lleida;Maximo;1;1,9;3;3,8;2,9;4,3;5;4,9;2,7;2,6;1,9;1,4;5
La Rioja;Minimo;1;1;1;1;1;1;1,1;1,2;1;1;1;1;1
La Rioja;Cuartil_1;1;1;1;1;1;1;2,9;3,9;1;1;1;1;1
La Rioja;Mediana;1;1;1;1,2;1,1;1,4;4,3;4,5;1,1;1,4;1;1;1
La Rioja;Media;1;1,2;1,3;1,8;1,3;1,7;3,7;4,2;1,8;1,5;1;1;1,8
La Rioja;Cuartil_3;1;1;1,1;2,7;1,5;2;4,6;4,8;2,4;1,9;1;1,1;2,2
La Rioja;Maximo;1,1;3,1;3,6;3,5;3,5;3,6;5;5;4,2;2,6;1,1;1,3;5
Lugo;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Lugo;Cuartil_1;1;1;1;1;1;1;1,1;2,1;1;1;1;1;1
Lugo;Mediana;1;1;1,1;1,3;1;1;1,9;3,1;1;1;1;1;1
Lugo;Media;1;1;1,4;1,9;1,2;1,7;1,9;2,8;1,6;1,3;1,1;1;1,5
Lugo;Cuartil_3;1;1;1,7;2,9;1,2;2,2;2,6;3,7;1,7;1,6;1,1;1;1,8
Lugo;Maximo;1,4;1,6;3,3;3,4;3,3;4;3,2;4,5;5;2,4;1,6;1,2;5
Madrid;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Madrid;Cuartil_1;1;1;1;1;1;1;2,3;2,8;1;1;1;1;1
Madrid;Mediana;1;1;1;1;1;1;3,6;3,5;1;1;1;1;1
Madrid;Media;1;1;1,1;1,1;1;1,5;3,2;3,3;1,1;1;1;1;1,5
Madrid;Cuartil_3;1;1;1;1;1;2;4;4,1;1,1;1;1;1;1
Madrid;Maximo;1;1;1,6;1,7;1,9;3,4;5;5;2,1;1;1;1;5
Malaga;Minimo;1;1;1;1;1;1;2,5;1,1;1;1;1;1;1
Malaga;Cuartil_1;1;1;1;1;1;1,1;3,3;1,5;1;1;1;1;1
Malaga;Mediana;1;1;1;1;1;1,8;3,8;2,7;1,1;1;1,1;1,1;1
Malaga;Media;1;1;1;1;1,1;1,9;3,8;2,7;1,9;1,1;1,3;1,2;1,6
Malaga;Cuartil_3;1;1;1;1;1,1;2,4;4,3;3,8;2,9;1;1,3;1,3;1,6
Malaga;Maximo;1;1;1,7;1;2;4,1;5;4,8;4,3;1,8;2,6;1,7;5
Murcia;Minimo;1;1;1;1;1;1;1;1,6;1;1;1;1;1
Murcia;Cuartil_1;1;1;1;1;1;1;2,7;2,2;1;1;1;1;1
Murcia;Mediana;1;1;1;1;1;1,2;3,1;2,8;1,3;1;1;1;1
Murcia;Media;1,2;1,1;1;1;1,3;1,7;3,2;2,9;1,7;1;1,1;1;1,5
Murcia;Cuartil_3;1,1;1,1;1;1;1,5;2,3;3,9;3,9;2;1;1;1;1,6
Murcia;Maximo;2,3;1,7;1,1;1,1;3,1;4,5;4,8;4,6;3,7;1,3;2,1;1,1;4,8
Navarra;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Navarra;Cuartil_1;1;1;1;1,2;1;1;2,6;2,7;1;1,1;1;1;1
Navarra;Mediana;1;1;1,1;2,4;1,1;1,2;3,2;3,6;1,1;1,5;1;1;1,1
Navarra;Media;1;1,2;1,4;2,3;1,3;1,5;3,2;3,5;1,5;1,7;1;1,1;1,7
Navarra;Cuartil_3;1;1,2;1,3;3,2;1,4;1,8;3,9;4,3;1,6;2;1;1,1;2,3
Navarra;Maximo;1,2;2,6;3,7;4;3,8;3,9;4,8;4,9;4;3,1;1,4;1,3;4,9
Ourense;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Ourense;Cuartil_1;1;1;1;1;1;1;1,1;2,5;1;1;1;1;1
Ourense;Mediana;1;1;1;1;1;1;2;3,4;1;1;1;1;1
Ourense;Media;1;1;1,4;1,3;1,1;1,5;2,1;3,2;1,4;1,2;1,1;1;1,4
Ourense;Cuartil_3;1;1;1,7;1,5;1;1,9;3;3,9;1,2;1,2;1,1;1;1,5
Ourense;Maximo;1,1;1;3;2,4;2;3,1;3,8;4,7;4,8;1,9;1,7;1,1;4,8
Asturias;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Asturias;Cuartil_1;1;1;1;1,1;1;1;1;2;1;1;1;1;1
Asturias;Mediana;1;1;1,3;2;1,1;1;1,2;2,8;1;1,4;1;1;1,1
Asturias;Media;1;1,2;1,6;2,3;1,4;1,5;1,7;2,8;1,6;1,9;1,1;1,3;1,6
Asturias;Cuartil_3;1;1,1;1,9;3,6;1,4;2;2,2;3,8;1,8;3;1,1;1,6;2
Asturias;Maximo;1,3;2,3;3,9;4;3,6;3,4;3,6;4,5;4,9;3,7;1,9;2,8;4,9
Palencia;Minimo;1;1;1;1;1;1;1;1,4;1;1;1;1;1
Palencia;Cuartil_1;1;1;1;1;1;1;2,1;3,6;1;1;1;1;1
Palencia;Mediana;1;1;1;1;1;1;3,1;4,1;1;1;1;1;1
Palencia;Media;1;1;1,2;1,4;1,2;1,4;3;3,9;1,7;1,1;1;1;1,6
Palencia;Cuartil_3;1;1;1,2;2;1,1;1,6;4;4,5;2;1,2;1;1;1,7
Palencia;Maximo;1;1,1;2,7;2,5;2,6;3,6;5;5;5;1,7;1,2;1;5
Las Palmas;Minimo;1;1;1;1;1;1;1,1;1,2;1,1;1;1;1;1
Las Palmas;Cuartil_1;1;1;1;1;1,3;1,4;1,8;1,6;1,3;1,4;1;1;1
Las Palmas;Mediana;1;1;1;1;2,6;2,2;2,7;2;1,4;1,8;1,1;1;1,3
Las Palmas;Media;1,1;1,1;1,3;1,2;2,4;2,2;2,7;2,4;1,8;1,9;1,3;1,4;1,7
Las Palmas;Cuartil_3;1,1;1,1;1,2;1,1;3,2;2,8;3,6;2,9;2;2,3;1,3;1,6;2,2
Las Palmas;Maximo;1,7;2,2;3,8;2,2;3,9;4,1;4,3;4,8;4,3;3,1;3,6;2,8;4,8
Pontevedra;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Pontevedra;Cuartil_1;1;1;1;1;1;1;1;1;1;1;1;1;1
Pontevedra;Mediana;1;1;1,3;1;1;1;1,2;2,3;1;1;1;1;1
Pontevedra;Media;1;1;1,6;1,4;1;1,5;1,4;2,1;1,3;1,1;1,2;1;1,3
Pontevedra;Cuartil_3;1;1;2;1,8;1;2;1,5;2,8;1,1;1;1,4;1;1,3
Pontevedra;Maximo;1,4;1,2;3,3;2,9;1,5;3,6;2,9;3,8;4;1,7;2,7;1,2;4
Salamanca;Minimo;1;1;1;1;1;1;1;1,2;1;1;1;1;1
Salamanca;Cuartil_1;1;1;1;1;1;1;2,3;2,9;1;1;1;1;1
Salamanca;Mediana;1;1;1;1;1;1,1;2,9;3,8;1;1;1;1;1
Salamanca;Media;1;1;1,1;1,1;1,1;1,7;3,1;3,6;1,6;1;1;1;1,5
Salamanca;Cuartil_3;1;1;1;1;1;1,9;4,1;4,6;1,7;1;1;1;1,2
Salamanca;Maximo;1;1;2;2;3,4;4,1;5;5;4,9;1,2;1;1;5
Santa Cruz de Tenerife;Minimo;1;1;1;1;1;1;1,9;1,5;1,3;1,2;1;1;1
Santa Cruz de Tenerife;Cuartil_1;1;1;1;1;1;1,5;2,7;2,2;1,6;1,6;1,1;1;1
Santa Cruz de Tenerife;Mediana;1;1;1;1;1,2;1,7;3,2;2,8;1,9;2,4;1,3;1;1,3
Santa Cruz de Tenerife;Media;1;1;1,1;1;1,5;1,9;3,2;3;2,1;2,5;1,4;1,1;1,8
Santa Cruz de Tenerife;Cuartil_3;1;1;1;1;1,6;2,4;3,7;3,9;2,7;3,3;1,6;1,2;2,2
Santa Cruz de Tenerife;Maximo;1;1,5;2,6;1,2;3,1;3,5;4,6;4,9;3,6;4,3;2,1;1,5;4,9
Cantabria;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Cantabria;Cuartil_1;1;1;1;1,1;1;1;1;1,3;1;1;1;1;1
Cantabria;Mediana;1;1;1;2,2;1;1;1,2;2;1;1,4;1;1,2;1
Cantabria;Media;1;1,5;1,5;2,3;1,2;1,6;1,6;2,3;1,7;1,8;1;1,5;1,6
Cantabria;Cuartil_3;1;1,7;1,4;3,1;1,1;1,9;2,1;3,3;1,7;2,5;1;1,9;1,9
Cantabria;Maximo;1,5;3,8;4,7;4,5;4,3;3,7;3,3;4,5;4,8;3,9;1,2;3;4,8
Segovia;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Segovia;Cuartil_1;1;1;1;1;1;1;2,2;3;1;1;1;1;1
Segovia;Mediana;1;1;1;1;1;1;3,2;3,4;1;1;1;1;1
Segovia;Media;1;1;1,2;1,1;1;1,4;3,1;3,5;1,6;1,1;1;1;1,5
Segovia;Cuartil_3;1;1;1;1;1;1,6;4,1;4,3;1,2;1;1;1;1,2
Segovia;Maximo;1;1,3;3,2;2,1;1,2;3,2;5;5;4,8;1,9;1;1;5
Sevilla;Minimo;1;1;1;1;1;1;1,7;1;1;1;1;1;1
Sevilla;Cuartil_1;1;1;1;1;1;1;3;1,5;1;1;1;1;1
Sevilla;Mediana;1;1;1;1;1;1,7;3,8;2,2;1;1;1;1;1
Sevilla;Media;1;1;1,1;1,1;1,2;1,9;3,6;2,6;1,6;1,1;1;1;1,5
Sevilla;Cuartil_3;1;1;1;1,1;1,2;2,7;4,3;3,2;1,5;1,1;1;1;1,5
Sevilla;Maximo;1;1;3,1;1,6;2,9;3,9;5;5;3,9;1,9;1,6;1;5
Soria;Minimo;1;1;1;1;1;1;1;1,1;1;1;1;1;1
Soria;Cuartil_1;1;1;1;1;1;1;2,4;3,2;1;1;1;1;1
Soria;Mediana;1;1;1;1;1;1;3,6;3,7;1;1;1;1;1
Soria;Media;1;1;1,2;1,4;1,1;1,2;3,2;3,5;1,3;1,2;1;1;1,5
Soria;Cuartil_3;1;1;1;1,6;1;1,3;4,1;4,2;1,4;1,3;1;1;1,4
Soria;Maximo;1;1,7;2,9;2,4;2,3;2,6;5;5;3,2;2,3;1,1;1;5
Tarragona;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Tarragona;Cuartil_1;1;1;1;1;1;1;2,1;1,6;1;1;1;1;1
Tarragona;Mediana;1;1;1,1;1,1;1,1;1,3;3,1;2,3;1;1;1;1;1
Tarragona;Media;1;1,1;1,3;1,4;1,4;1,8;2,9;2,5;1;1;1,1;1;1,5
Tarragona;Cuartil_3;1;1;1,3;1,3;1,7;2;3,9;3,3;1;1;1;1;1,4
Tarragona;Maximo;1,4;2,8;2,7;3,8;2,8;4,5;4,8;4,4;1,5;1,1;2;1,2;4,8
Teruel;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Teruel;Cuartil_1;1;1;1;1;1;1;3;2,2;1;1;1;1;1
Teruel;Mediana;1;1;1;1;1;1;3,8;3,4;1,1;1,2;1;1;1
Teruel;Media;1;1;1,3;1,4;1,2;1,4;3,6;3,2;1,2;1,3;1;1;1,6
Teruel;Cuartil_3;1;1;1,2;1,3;1,3;1,7;4,4;4,2;1,3;1,3;1;1;1,5
Teruel;Maximo;1;1,6;3;3,6;2,8;3;5;4,9;2,2;2,3;1,3;1;5
Toledo;Minimo;1;1;1;1;1;1;1,1;1,1;1;1;1;1;1
Toledo;Cuartil_1;1;1;1;1;1;1;2,5;2,5;1;1;1;1;1
Toledo;Mediana;1;1;1;1;1;1,4;4,1;3,4;1;1;1;1;1
Toledo;Media;1;1;1,1;1,1;1,2;2;3,5;3,3;1,3;1;1;1;1,6
Toledo;Cuartil_3;1;1;1;1;1;3;4,5;4,1;1,4;1;1;1;1,4
Toledo;Maximo;1;1;2,2;1,7;3,5;4;5;5;3,1;1,2;1;1;5
Valencia;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Valencia;Cuartil_1;1;1;1;1;1;1;1,7;1,2;1;1;1;1;1
Valencia;Mediana;1;1;1;1;1;1;2,8;2,1;1;1;1;1;1
Valencia;Media;1,1;1,1;1;1,1;1,1;1,2;2,8;2,2;1,1;1;1;1;1,3
Valencia;Cuartil_3;1;1,1;1;1;1;1,2;3,5;2,8;1,1;1;1;1;1,1
Valencia;Maximo;1,9;1,5;1,1;2;2,8;2,9;4,9;4,8;1,4;1,1;1;1,1;4,9
Valladolid;Minimo;1;1;1;1;1;1;1;1,1;1;1;1;1;1
Valladolid;Cuartil_1;1;1;1;1;1;1;2,6;3,2;1;1;1;1;1
Valladolid;Mediana;1;1;1;1;1;1;3,4;3,7;1;1;1;1;1
Valladolid;Media;1;1;1,2;1,2;1,2;1,7;3,4;3,6;1,6;1;1;1;1,6
Valladolid;Cuartil_3;1;1;1,1;1,2;1,1;2,1;4,1;4,6;1,6;1;1;1;1,5
Valladolid;Maximo;1;1,1;3;2,5;2,8;4,6;5;5;5;1,1;1;1;5
Bizkaia;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Bizkaia;Cuartil_1;1;1;1;1,3;1;1;1;1,1;1;1;1;1;1
Bizkaia;Mediana;1;1;1;2,9;1;1;1,1;1,9;1;1,1;1;1;1
Bizkaia;Media;1;1,4;1,5;2,8;1,4;1,7;1,5;2,3;1,7;1,7;1;1,2;1,6
