Provincia;Estadisticos;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Araba;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Araba;Cuartil_1;1;1;1;1;1;1;1,5;3,3;1;1;1;1;1
Araba;Mediana;1;1;1;2,2;1,1;1,2;3,4;4,1;1,1;1,4;1;1;1
Araba;Media;1;1,2;1,3;2,2;1,5;1,7;2,9;3,8;1,9;1,8;1;1;1,8
Araba;Cuartil_3;1;1;1,1;3;1,8;2,6;3,9;4,7;2,5;2,2;1;1;2,5
Araba;Maximo;1;3;3,7;3,8;3,6;4,1;4,7;4,9;5;3,6;1;1,3;5
Albacete;Minimo;1;1;1;1;1;1;1,2;1;1;1;1;1;1
Albacete;Cuartil_1;1;1;1;1;1;1;2,8;2,3;1;1;1;1;1
Albacete;Mediana;1;1;1;1;1;1;3,5;3,2;1,1;1;1;1;1
Albacete;Media;1;1;1;1,1;1,4;1,6;3,5;3,2;1,5;1,1;1;1;1,5
Albacete;Cuartil_3;1;1;1;1;1,3;1,8;4,5;4;1,8;1,1;1;1;1,3
Albacete;Maximo;1,3;1,2;1,5;1,6;3,3;3,9;5;5;4,2;2;1,2;1;5
Alicante;Minimo;1;1;1;1;1;1;1;1,1;1;1;1;1;1
Alicante;Cuartil_1;1;1;1;1;1;1;2,6;1,7;1;1;1;1;1
Alicante;Mediana;1;1;1;1;1;1,2;3;2,9;1;1;1;1;1
Alicante;Media;1,3;1,2;1;1;1,2;1,5;3;2,8;1,5;1;1;1;1,5
Alicante;Cuartil_3;1,2;1,2;1;1;1,2;1,9;3,7;3,6;1,9;1;1;1;1,5
Alicante;Maximo;3,2;3,1;1,2;1,2;2,8;3,6;4,5;4,4;3,1;1,1;1,1;1,3;4,5
Almeria;Minimo;1;1;1;1;1;1;1,1;1,6;1;1;1;1;1
Almeria;Cuartil_1;1;1;1;1;1;1;2,5;2,2;1,2;1;1;1;1
Almeria;Mediana;1;1;1;1;1,1;1,2;3,1;3;1,6;1,2;1,1;1,1;1,1
Almeria;Media;1,1;1,1;1;1;1,2;1,6;3,1;3;2;1,3;1,2;1,2;1,6
Almeria;Cuartil_3;1,1;1,1;1;1;1,3;2,1;3,8;3,7;2,4;1,4;1,2;1,2;1,7
Almeria;Maximo;2;1,3;1,6;1,2;2,3;3,1;4,9;4,4;4,2;2,3;2,4;1,8;4,9
Avila;Minimo;1;1;1;1;1;1;1;1,3;1;1;1;1;1
Avila;Cuartil_1;1;1;1;1;1;1;2,7;3;1;1;1;1;1
Avila;Mediana;1;1;1;1;1;1;3,5;3,9;1;1;1;1;1
Avila;Media;1;1;1,1;1,1;1;1,4;3,3;3,6;1,4;1;1;1;1,5
Avila;Cuartil_3;1;1;1;1;1;1,6;4,4;4,4;1,2;1;1;1;1,1
Avila;Maximo;1;1;2,3;1,7;1,5;3,2;5;5;4;1;1,1;1;5
Badajoz;Minimo;1;1;1;1;1;1;1,5;1;1;1;1;1;1
Badajoz;Cuartil_1;1;1;1;1;1;1;2,6;2,1;1;1;1;1;1
Badajoz;Mediana;1;1;1;1;1;1,5;3,3;3,3;1;1;1;1;1
Badajoz;Media;1;1;1,1;1,1;1,2;1,9;3,4;3,1;1,5;1;1;1;1,5
Badajoz;Cuartil_3;1;1;1;1;1;2,7;4,3;4,3;1,1;1;1;1;1,2
Badajoz;Maximo;1;1;3,1;1,5;3;4,6;5;5;4,3;1;1;1;5
Illes Balears;Minimo;1;1;1;1;1;1;1,2;1,2;1;1;1;1;1
Illes Balears;Cuartil_1;1;1;1;1;1;1;2;2;1;1;1;1;1
Illes Balears;Mediana;1;1;1;1;1;1,2;2,3;2,7;1,1;1;1;1;1
Illes Balears;Media;1;1,2;1,1;1,2;1,2;1,4;2,6;2,7;1,4;1,1;1;1;1,4
Illes Balears;Cuartil_3;1;1;1,2;1,2;1,2;1,7;3,3;3,4;1,3;1,1;1;1;1,5
Illes Balears;Maximo;1,4;2,8;1,7;3,1;1,9;2,7;4,3;4,6;3,6;1,4;1;1,1;4,6
Barcelona;Minimo;1;1;1;1;1;1;2;1;1;1;1;1;1
Barcelona;Cuartil_1;1;1;1;1;1,1;1,6;3,4;1,7;1;1;1;1;1
Barcelona;Mediana;1;1;1,1;1;1,3;2,5;3,8;3,1;1,1;1,2;1;1;1,1
Barcelona;Media;1;1,1;1,4;1,6;1,6;2,6;3,8;2,9;1,4;1,2;1,1;1,1;1,7
Barcelona;Cuartil_3;1;1;1,5;1,9;1,9;3,3;4,4;3,7;1,7;1,3;1;1,1;2,1
Barcelona;Maximo;1,4;1,6;2,8;3,5;3;4,8;5;4,8;3;1,7;1,8;1,6;5
Burgos;Minimo;1;1;1;1;1;1;1;1,1;1;1;1;1;1
Burgos;Cuartil_1;1;1;1;1;1;1;1,7;3,5;1;1;1;1;1
Burgos;Mediana;1;1;1;1,2;1;1,1;3,1;4;1;1,1;1;1;1
Burgos;Media;1;1,1;1,2;1,4;1,2;1,3;2,9;3,7;1,8;1,3;1;1;1,6
Burgos;Cuartil_3;1;1;1,1;1,8;1,2;1,6;3,7;4,4;2,4;1,4;1;1;1,6
Burgos;Maximo;1,1;2,3;3,1;2,5;2,4;2,7;4,9;4,9;4,9;2,4;1;1,1;4,9
Caceres;Minimo;1;1;1;1;1;1;1,1;1,4;1;1;1;1;1
Caceres;Cuartil_1;1;1;1;1;1;1;2,5;2,7;1;1;1;1;1
Caceres;Mediana;1;1;1;1;1;1,1;3,3;3,7;1;1;1;1;1
Caceres;Media;1;1;1,1;1;1,1;1,6;3,2;3,5;1,3;1;1;1;1,5
Caceres;Cuartil_3;1;1;1;1;1;1,8;4,1;4,4;1,1;1;1;1;1,2
Caceres;Maximo;1;1;2,5;1,3;2,4;4,2;4,9;5;4,3;1;1;1;5
Cadiz;Minimo;1;1;1;1;1;1;1,5;1;1;1;1;1;1
Cadiz;Cuartil_1;1;1;1;1;1;1;2,5;1,6;1;1;1;1;1
Cadiz;Mediana;1;1;1;1;1;1,3;3;2,4;1;1;1;1;1
Cadiz;Media;1;1;1,2;1;1,3;1,6;3,1;2,3;1,7;1,3;1,1;1;1,5
Cadiz;Cuartil_3;1;1;1;1;1,2;2,2;3,9;2,9;2,1;1,5;1;1;1,6
Cadiz;Maximo;1;1;3,5;1,4;3,3;3,5;4,7;4,1;4,5;3,2;2,4;1,5;4,7
Castellon;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Castellon;Cuartil_1;1;1;1;1;1;1;1,3;1,1;1;1;1;1;1
Castellon;Mediana;1;1;1;1;1;1;2,4;1,8;1;1;1;1;1
Castellon;Media;1;1,1;1;1,1;1;1,3;2,3;1,9;1;1;1,1;1;1,2
Castellon;Cuartil_3;1;1;1;1;1,1;1,4;3,1;2,3;1;1;1;1;1,1
Castellon;Maximo;1,3;2,6;1,3;1,8;1,3;3,3;4,5;4,3;1,1;1,1;1,8;1,1;4,5
Ciudad Real;Minimo;1;1;1;1;1;1;1,8;1;1;1;1;1;1
Ciudad Real;Cuartil_1;1;1;1;1;1;1;2,9;2,2;1;1;1;1;1
Ciudad Real;Mediana;1;1;1;1;1;1,3;4,1;3,6;1;1;1;1;1
Ciudad Real;Media;1;1;1,1;1,1;1,2;2;3,8;3,3;1,5;1;1;1;1,6
Ciudad Real;Cuartil_3;1;1;1;1;1,1;3,1;4,8;4,3;1,6;1;1;1;1,4
Ciudad Real;Maximo;1;1;2,2;1,9;2,9;4,3;5;5;4,3;1,3;1;1;5
Cordoba;Minimo;1;1;1;1;1;1;2,3;1,1;1;1;1;1;1
Cordoba;Cuartil_1;1;1;1;1;1;1;3,1;2;1;1;1;1;1
Cordoba;Mediana;1;1;1;1;1;1,4;3,7;2,8;1;1;1;1;1
Cordoba;Media;1;1;1,1;1,1;1,1;2;3,8;3;1,6;1;1;1;1,6
Cordoba;Cuartil_3;1;1;1;1;1,1;2,9;4,5;4;1,5;1;1;1;1,3
Cordoba;Maximo;1;1;2,6;2,1;2,8;4,1;5;5;4,7;1,3;1;1;5
A Coruña;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
A Coruña;Cuartil_1;1;1;1;1;1;1;1;1,1;1;1;1;1;1
A Coruña;Mediana;1;1;1,3;1,2;1;1;1;2,1;1;1;1;1;1
A Coruña;Media;1;1;1,6;1,8;1,1;1,7;1,2;2,1;1,4;1,2;1,2;1;1,4
A Coruña;Cuartil_3;1;1;2;2,7;1,1;2,3;1,3;2,8;1,1;1,2;1,4;1;1,4
A Coruña;Maximo;1,4;1,7;3;3,6;2,6;4;2,3;4,1;4,6;2;2;1,3;4,6
Cuenca;Minimo;1;1;1;1;1;1;1,1;1,1;1;1;1;1;1
Cuenca;Cuartil_1;1;1;1;1;1;1;2,3;2,4;1;1;1;1;1
Cuenca;Mediana;1;1;1;1;1;1;3,5;3,1;1;1;1;1;1
Cuenca;Media;1;1;1,1;1,1;1,1;1,3;3,3;3,2;1,1;1;1;1;1,4
Cuenca;Cuartil_3;1;1;1;1;1;1,5;4,2;4,1;1,1;1;1;1;1,1
Cuenca;Maximo;1;1;2;2,1;1,9;3,1;5;5;2,3;1,2;1;1;5
Girona;Minimo;1;1;1;1;1;1;1,8;1;1;1;1;1;1
Girona;Cuartil_1;1;1;1;1;1;1,5;2,4;1,8;1,1;1,4;1;1;1
Girona;Mediana;1;1;1,2;1,3;1;2;3,2;3;1,2;1,9;1;1;1,2
Girona;Media;1;1;1,3;1,7;1,1;2,3;3,2;2,8;1,6;2;1,2;1,1;1,7
Girona;Cuartil_3;1;1,1;1,5;2,4;1,1;3,1;4;3,8;2;2,4;1;1,2;2,1
Girona;Maximo;1,2;1,4;2,4;3,2;1,6;4,2;4,9;4,6;3,4;3,6;2,8;1,5;4,9
Granada;Minimo;1;1;1;1;1;1;2,5;1,7;1;1;1;1;1
