Provincia;Estadisticos;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Araba;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Araba;Cuartil_1;1;1,6;1;1;1,6;1;2,7;1,9;1;1;1;1;1
Araba;Mediana;1,3;2;1,5;1,1;2;1,3;3,4;3,9;3,5;1;1,1;1;1,5
Araba;Media;1,4;2;1,6;1,4;2,2;1,6;3,4;3,4;3;1;1,2;1;1,9
Araba;Cuartil_3;1,8;2,3;2;1,7;3;1,8;4,3;4,7;4,6;1;1,4;1;2,3
Araba;Maximo;2,1;3,1;2,8;2,9;3,6;3,1;5;5;5;1,8;2,3;1,2;5
Albacete;Minimo;1;1;1;1;1;1;1;1,7;1;1;1;1;1
Albacete;Cuartil_1;1;1;1;1;1,4;1,8;2,3;2,8;1,6;1;1;1;1
Albacete;Mediana;1,1;1,1;1,1;1;2;2,2;3,2;3,6;2,2;1,1;1;1;1,4
Albacete;Media;1,2;1,5;1,5;1,1;1,8;2,2;3,2;3,5;2,3;1,5;1;1;1,8
Albacete;Cuartil_3;1,5;1,8;2,2;1;2,1;2,7;4,1;4,1;2,8;1,6;1;1;2,3
Albacete;Maximo;2;2,8;2,6;1,7;3;3,8;4,8;4,9;4,2;4,7;1,6;1;4,9
Alicante;Minimo;1;1;1;1;1;1;2;1;1;1;1;1;1
Alicante;Cuartil_1;1;1;1;1;1,1;1,4;2,5;2,4;1,2;1,2;1;1;1
Alicante;Mediana;1,1;1,4;1;1;1,9;2;3,4;3,5;2;1,6;1;1;1,4
Alicante;Media;1,2;1,6;1,9;1,1;1,8;1,9;3,2;3,1;2,2;1,9;1,1;1,2;1,8
Alicante;Cuartil_3;1,3;1,8;2,5;1;2,1;2,3;3,8;4,1;2,8;2,2;1;1,2;2,4
Alicante;Maximo;2,2;3;4,7;1,9;3;3,3;4,4;4,6;4,9;4,9;1,6;2,3;4,9
