Provincia;Estadisticos;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Almeria;Minimo;1;1,1;1;1;1;1;2;1,6;1;1;1;1;1
Almeria;Cuartil_1;1;1,2;1;1;1,1;1,7;2,8;3,2;1,4;1,1;1;1;1
Almeria;Mediana;1,2;1,3;1,3;1;1,9;2,1;3,4;3,7;2,3;1,6;1;1;1,5
Almeria;Media;1,3;1,5;1,7;1;1,8;2,1;3,3;3,6;2,2;1,7;1,1;1,1;1,9
Almeria;Cuartil_3;1,4;1,6;2,3;1;2,1;2,4;3,7;4,1;2,7;2,3;1,1;1,2;2,4
Almeria;Maximo;2;2,5;3,5;1,3;3,2;3,3;4,7;4,7;4,2;3,7;2;1,6;4,7
Avila;Minimo;1;1;1;1;1;1;1,5;1;1;1;1;1;1
Avila;Cuartil_1;1;1,5;1;1;1,1;1,1;3,1;2,7;1;1;1;1;1
Avila;Mediana;1,7;1,7;1,3;1;1,8;1,7;3,7;4;2;1;1;1;1,2
Avila;Media;1,5;1,8;1,5;1;1,7;1,6;3,6;3,5;2,3;1;1;1;1,8
Avila;Cuartil_3;1,9;2,2;1,9;1;2;2;4,3;4,5;3,7;1;1;1;2,1
Avila;Maximo;2,1;2,8;2,4;1,6;2,7;2,9;5;4,9;4,6;2,3;1;1;5
Badajoz;Minimo;1;1;1;1;1;1;1,4;1;1;1;1;1;1
Badajoz;Cuartil_1;1;1;1,1;1;1,2;1,8;3,1;2,6;1;1;1;1;1
Badajoz;Mediana;1;1;1,4;1;1,9;2,2;3,8;3,3;1,8;1;1;1;1,2
Badajoz;Media;1,1;1,3;1,5;1;1,7;2,4;3,7;3,3;2,3;1,3;1;1;1,8
Badajoz;Cuartil_3;1,2;1,9;1,9;1;2,1;3;4,3;4;3,6;1,2;1;1;2,2
Badajoz;Maximo;1,6;2;2,3;1,3;2,6;4,1;5;5;4,8;4,6;1;1;5
Illes Balears;Minimo;1;1,1;1;1;1;1;1,4;1,1;1;1;1;1;1
Illes Balears;Cuartil_1;1;1,3;1;1;1,6;1,1;2,4;2,3;1;1;1;1;1
Illes Balears;Mediana;1,1;1,5;1,7;1;2;1,6;3,1;2,6;1,1;1,1;1;1;1,4
Illes Balears;Media;1,2;1,7;1,7;1,3;2;1,7;3;2,7;1,5;1,3;1,3;1,1;1,7
Illes Balears;Cuartil_3;1,3;2;2,2;1,6;2,3;2,1;3,5;2,8;1,8;1,2;1,4;1,1;2,1
Illes Balears;Maximo;2,2;3;3,1;2,6;2,9;2,7;4,6;4,7;4,4;4,4;2,7;1,9;4,7
Barcelona;Minimo;1;1,2;1;1;1;1;1;1;1;1;1;1;1
Barcelona;Cuartil_1;1,1;1,5;1;1;1,3;1;2,1;2,9;1;1;1;1;1
Barcelona;Mediana;1,2;2,1;1,6;1,4;2,6;1,2;2,9;3,8;1,3;1;1;1;1,4
Barcelona;Media;1,3;2,1;1,8;1,6;2,3;1,5;2,9;3,5;1,4;1,1;1,1;1;1,8
Barcelona;Cuartil_3;1,5;2,4;2,4;2,1;3;1,8;3,8;4,3;1,7;1,1;1,1;1;2,3
Barcelona;Maximo;2,2;3,5;3;3,3;3,5;2,9;4,8;5;3,1;2;1,5;1,4;5
Burgos;Minimo;1;1,1;1;1;1;1;1;1;1;1;1;1;1
Burgos;Cuartil_1;1,1;1,4;1,4;1;1,3;1;3;1,6;1;1;1;1;1
Burgos;Mediana;1,4;2;1,6;1;2;1,1;3,3;3,3;2,9;1;1;1;1,3
Burgos;Media;1,5;1,8;1,7;1,2;2;1,4;3,3;3;2,5;1;1,1;1;1,8
Burgos;Cuartil_3;1,8;2,2;2;1,3;2,6;1,6;3,8;4;3,7;1;1,1;1;2,2
Burgos;Maximo;2,2;2,7;2,6;2,5;3,1;2,7;4,9;5;4,8;2,2;1,5;1,3;5
Caceres;Minimo;1;1;1;1;1;1,2;1,2;1,1;1;1;1;1;1
Caceres;Cuartil_1;1;1;1;1;1;1,6;3,5;2,8;1;1;1;1;1
Caceres;Mediana;1,1;1,1;1,5;1;1,6;2;3,9;3,7;1,6;1;1;1;1,1
Caceres;Media;1,1;1,3;1,4;1;1,6;2,2;3,8;3,4;2,4;1,1;1;1;1,8
Caceres;Cuartil_3;1,1;1,7;1,8;1;2;2,6;4,2;4,2;3,8;1;1;1;2
Caceres;Maximo;1,5;2;1,9;1,9;2,2;3,9;5;5;4,9;2,5;1;1;5
Cadiz;Minimo;1;1;1;1;1;1;1,4;1;1;1;1;1;1
Cadiz;Cuartil_1;1;1,2;1;1;1;1,4;2,3;2,4;1,4;1;1;1;1
Cadiz;Mediana;1,1;1,4;1,2;1;1,9;2;2,9;2,8;2,2;1,1;1;1;1,2
Cadiz;Media;1,1;1,5;1,4;1,1;1,8;2;3;2,8;2,4;1,6;1;1;1,7
Cadiz;Cuartil_3;1,2;1,8;1,9;1;2,3;2,1;3,6;3,5;3,5;1,8;1;1;2,2
Cadiz;Maximo;1,8;2,1;2,5;1,4;3,2;3,9;4,7;4,8;4,8;4,3;1;1;4,8
Castellon;Minimo;1;1,1;1;1;1;1;1;1,3;1;1;1;1;1
Castellon;Cuartil_1;1;1,4;1;1;1,2;1,1;1,8;3,1;1,9;1,3;1;1;1
Castellon;Mediana;1,4;1,6;1,2;1;2,1;1,6;2,3;3,6;3;1,8;1;1;1,5
Castellon;Media;1,5;1,9;1,8;1,1;1,8;1,6;2,5;3,4;2,9;2;1,1;1;1,9
Castellon;Cuartil_3;1,8;2,2;2,7;1;2,3;2;3,2;4;3,7;2,6;1;1;2,4
Castellon;Maximo;2,6;3,6;3,9;1,7;2,8;2,7;4,1;4,6;4,6;3,8;1,9;1,3;4,6
Ciudad Real;Minimo;1;1;1;1;1;1;1,5;1;1;1;1;1;1
Ciudad Real;Cuartil_1;1;1;1;1;1,2;1,8;3;2;1;1;1;1;1
Ciudad Real;Mediana;1;1;1,5;1;2;2,3;3,6;2,9;1,6;1;1;1;1,1
Ciudad Real;Media;1,1;1,3;1,5;1,1;1,8;2,2;3,6;3;1,8;1,3;1;1;1,7
Ciudad Real;Cuartil_3;1,1;2;1,9;1;2;2,6;4,2;3,9;2,1;1,1;1;1;2,1
Ciudad Real;Maximo;1,7;2,1;2,1;1,5;3;3,7;4,9;5;4,2;4;1;1;5
Cordoba;Minimo;1;1;1;1;1;1,1;2,1;1;1;1;1;1;1
Cordoba;Cuartil_1;1;1;1;1;1,1;1,9;3,3;2,1;1,1;1;1;1;1
Cordoba;Mediana;1;1,1;1,5;1;2;2,4;3,8;3,4;1,4;1;1;1;1,1
Cordoba;Media;1,1;1,4;1,5;1;1,8;2,5;3,7;3;1,8;1,3;1;1;1,8
Cordoba;Cuartil_3;1,2;1,8;1,9;1;2,1;3;4,2;4;2,3;1,2;1;1;2,2
Cordoba;Maximo;1,7;2,1;2,4;1,2;3,1;4,6;5;5;4,4;4,1;1;1;5
A Coruña;Minimo;1;1;1;1;1;1;2;1;1;1;1;1;1
A Coruña;Cuartil_1;1;1;1,1;1;1,8;1,4;3,6;1;1;1;1;1;1
A Coruña;Mediana;1,6;1,4;1,7;1,2;2,5;2;4;1,2;1,8;1;1;1;1,3
A Coruña;Media;1,5;1,6;1,8;1,4;2,6;1,9;3,9;2,2;2,2;1;1;1;1,8
A Coruña;Cuartil_3;1,8;2;2;1,6;3,5;2,4;4,4;3,8;3,6;1;1;1;2,2
A Coruña;Maximo;2,3;2,7;4,2;3,7;4,8;2,9;5;4,7;4,4;1,5;1,5;1,3;5
Cuenca;Minimo;1;1;1;1;1;1;1,1;1;1;1;1;1;1
Cuenca;Cuartil_1;1;1,1;1;1;1,2;1,5;2,5;2,9;1,2;1;1;1;1
Cuenca;Mediana;1,2;1,2;1,1;1;1,9;2;3,4;3,5;1,7;1;1;1;1,2
Cuenca;Media;1,3;1,5;1,3;1,1;1,8;2;3,2;3,4;2,1;1,1;1;1;1,7
Cuenca;Cuartil_3;1,6;2;1,6;1;2,1;2,6;4;4,2;2,8;1;1;1;2,1
Cuenca;Maximo;2,1;2,6;2,1;1,6;3,1;3,7;5;5;4,7;2,3;1;1;5
Girona;Minimo;1;1,2;1;1;1;1;1,1;1;1;1;1;1;1
Girona;Cuartil_1;1,1;1,7;1,1;1;1,4;1;1,7;2,6;1;1;1;1;1
Girona;Mediana;1,4;2,3;1,7;1,2;2,6;1,1;2,3;3,5;1,2;1;1,1;1;1,4
Girona;Media;1,6;2,1;1,7;1,6;2,3;1,4;2,4;3,2;1,4;1,1;1,2;1;1,8
Girona;Cuartil_3;1,9;2,5;2,1;2,3;3,1;1,5;2,8;4;1,8;1;1,3;1;2,3
Girona;Maximo;2,5;3,1;2,7;3,4;3,8;2,8;4,4;4,9;2,5;1,5;2,5;1,1;4,9
Granada;Minimo;1;1,1;1;1;1;1,1;1,4;2,8;1;1;1;1;1
Granada;Cuartil_1;1;1,4;1;1;1,1;1,6;3,2;3,7;1,6;1;1;1;1
Granada;Mediana;1,4;1,5;1,7;1;1,7;2,1;3,6;4,2;2,3;1,1;1;1;1,5
Granada;Media;1,3;1,7;1,6;1;1,7;2,1;3,6;4,1;2,4;1,5;1;1;1,9
Granada;Cuartil_3;1,5;1,9;2,1;1;2;2,5;4;4,5;2,9;1,4;1;1;2,3
Granada;Maximo;2;2,4;2,3;1,4;2,9;3;4,7;5;4,1;3,7;1,7;1;5
Guadalajara;Minimo;1;1;1;1;1;1;1,4;1;1;1;1;1;1
Guadalajara;Cuartil_1;1;1,2;1;1;1,1;1;2,4;2,7;1;1;1;1;1
Guadalajara;Mediana;1,4;1,3;1,2;1;1,5;1,3;3,5;3,8;2,1;1;1;1;1,2
Guadalajara;Media;1,4;1,6;1,3;1;1,7;1,5;3,3;3,5;2,1;1;1;1;1,7
Guadalajara;Cuartil_3;1,7;2,1;1,5;1;2,1;1,9;4,1;4,3;2,8;1;1;1;2,1
Guadalajara;Maximo;2;2,8;2,1;1,7;2,9;3;5;4,9;4,2;1,6;1;1;5
Gipuzkoa;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Gipuzkoa;Cuartil_1;1;1,3;1;1;1,5;1;1,6;1,2;1;1;1;1;1
Gipuzkoa;Mediana;1,6;2;1,4;1,2;2,1;1,2;2,8;2,7;2,3;1;1,1;1;1,4
Gipuzkoa;Media;1,6;1,9;1,6;1,6;2,3;1,7;2,9;2,8;2,6;1,2;1,7;1;1,9
Gipuzkoa;Cuartil_3;2;2,2;2,1;2;3,1;2,4;4,2;4,3;4;1;2,2;1;2,6
Gipuzkoa;Maximo;3,1;4;3;3,5;4,1;3,3;5;5;5;3,3;3,4;1,8;5
Huelva;Minimo;1;1;1;1;1;1;1;1,1;1;1;1;1;1
Huelva;Cuartil_1;1;1;1;1;1;1,6;2,8;2,7;1;1;1;1;1
Huelva;Mediana;1;1,1;1,5;1;1,9;2;3,2;3,4;1,6;1;1;1;1,1
Huelva;Media;1,1;1,4;1,6;1;1,7;2,2;3,2;3,4;2,2;1,5;1;1;1,8
Huelva;Cuartil_3;1,2;2;2;1;2;2,6;3,8;4,4;3;1,6;1;1;2,2
Huelva;Maximo;1,8;2,4;2,8;1,3;2,5;3,9;4,8;5;5;4,7;1;1;5
Huesca;Minimo;1,1;1,1;1,1;1,1;1,1;1;1,1;1,4;1;1;1;1;1
Huesca;Cuartil_1;1,1;1,6;1,1;1,1;1,2;1;1,7;3;1,6;1;1;1;1,1
Huesca;Mediana;1,4;1,9;1,3;1,1;1,7;1,3;2,9;4,4;3,5;1;1;1;1,4
Huesca;Media;1,3;1,9;1,4;1,2;1,8;1,4;3;3,9;3;1,4;1,2;1;1,9
Huesca;Cuartil_3;1,6;2,1;1,6;1,2;2,3;1,7;4,2;4,7;4;1,6;1,3;1;2,2
Huesca;Maximo;1,7;3;2,5;1,8;3;2,7;5;5;4,9;2,8;1,8;1,4;5
Jaen;Minimo;1;1;1;1;1;1;1,4;1,2;1;1;1;1;1
Jaen;Cuartil_1;1;1;1;1;1;1,6;3,3;2,9;1,3;1;1;1;1
Jaen;Mediana;1,2;1,3;1,2;1;2;2,1;3,6;3,5;2;1;1;1;1,3
Jaen;Media;1,2;1,4;1,4;1;1,7;2,1;3,6;3,4;2,1;1,3;1;1;1,8
Jaen;Cuartil_3;1,3;1,8;1,9;1;2,1;2,5;4;4,1;2,7;1,1;1;1;2,2
Jaen;Maximo;1,7;2;2;1,4;2,7;3,6;4,9;5;4,4;4,2;1,2;1;5
Leon;Minimo;1,1;1,1;1,1;1,1;1,1;1;1,4;1;1;1;1;1;1
Leon;Cuartil_1;1,2;1,4;1,6;1,1;1,2;1,1;2,7;1,2;1;1;1;1;1
Leon;Mediana;1,5;1,7;2;1,2;2;1,3;3,3;2,6;1,4;1;1;1;1,3
Leon;Media;1,5;1,7;1,9;1,3;2;1,5;3,4;2,7;2,1;1;1;1;1,8
Leon;Cuartil_3;1,9;2,2;2,3;1,4;2,7;1,9;3,9;4,1;3,4;1;1;1;2,2
Leon;Maximo;2,2;2,7;2,7;2,2;3,2;3;5;5;4,5;2,2;1,2;1,1;5
Lleida;Minimo;1,1;1,3;1,1;1,1;1,1;1,1;1;1;1;1;1;1;1
Lleida;Cuartil_1;1,1;1,8;1,1;1,1;1,2;1,1;1,8;3,4;1,5;1;1;1;1,1
Lleida;Mediana;1,5;1,9;1,3;1,2;1,8;1,2;2,8;4,6;2,2;1,1;1,1;1;1,5
Lleida;Media;1,5;2;1,6;1,4;1,9;1,4;2,7;4;2,2;1,3;1,3;1;1,9
Lleida;Cuartil_3;1,7;2,2;1,8;1,7;2,6;1,7;3,5;4,8;3,1;1,5;1,6;1;2,2
Lleida;Maximo;1,8;3,2;2,7;2,2;3,3;2,5;4,9;5;3,8;2,9;2;1,2;5
La Rioja;Minimo;1;1,1;1;1;1;1;1,1;1,2;1;1;1;1;1
La Rioja;Cuartil_1;1;1,6;1,2;1;1,3;1;2,7;3,1;1,2;1;1;1;1
La Rioja;Mediana;1,5;2;1,4;1;2,1;1;3,6;4,5;3,9;1;1,1;1;1,4
La Rioja;Media;1,4;2,1;1,6;1,2;2;1,4;3,4;3,8;3;1,1;1,2;1;1,9
La Rioja;Cuartil_3;1,8;2,5;1,7;1,1;2,6;1,6;4,3;4,9;4,6;1;1,2;1;2,3
La Rioja;Maximo;2;3;3,5;2,4;3,1;3;5;5;5;1,7;1,9;1,5;5
Lugo;Minimo;1;1;1;1;1;1;2,3;1;1;1;1;1;1
Lugo;Cuartil_1;1,1;1,3;1,1;1;1,6;1,2;3,4;1,1;1;1;1;1;1
Lugo;Mediana;1,5;1,8;1,7;1,3;2,2;1,7;3,8;1,8;1,8;1;1;1;1,3
Lugo;Media;1,5;1,8;1,7;1,4;2,4;1,7;3,7;2,5;2,3;1,1;1,1;1;1,8
Lugo;Cuartil_3;1,9;2,1;2;1,5;3,2;2,2;4,2;4;3,6;1;1;1;2,3
Lugo;Maximo;2,6;3;2,9;3,1;3,8;3;4,8;4,9;4,7;2,7;1,8;1;4,9
Madrid;Minimo;1;1;1;1;1;1;2,1;1;1;1;1;1;1
Madrid;Cuartil_1;1;1,1;1;1;1,3;1,5;2,9;2,1;1;1;1;1;1
Madrid;Mediana;1,3;1,2;1,4;1;1,9;1,9;3,6;3,6;1,3;1;1;1;1,2
Madrid;Media;1,3;1,5;1,5;1,1;1,8;1,9;3,5;3,1;1,8;1;1;1;1,7
Madrid;Cuartil_3;1,5;2,1;1,9;1;2,1;2,1;4,1;4,2;2,4;1;1;1;2,1
Madrid;Maximo;2;2,5;2,1;1,6;3;3,1;4,9;5;3,8;1;1;1;5
Malaga;Minimo;1;1;1;1;1;1,1;1,8;1,3;1;1;1;1;1
Malaga;Cuartil_1;1;1,3;1;1;1;1,6;2,9;3,1;1,3;1;1;1;1
Malaga;Mediana;1,1;1,7;1,9;1;2;2;3,5;3,8;1,8;1,1;1;1;1,4
Malaga;Media;1,2;1,7;1,7;1;1,7;2,2;3,3;3,6;2,3;1,6;1;1;1,9
Malaga;Cuartil_3;1,3;1,9;2,1;1;2,2;2,7;3,8;4,4;3,1;1,6;1;1;2,5
Malaga;Maximo;1,9;2,5;2,6;1,2;2,6;3,8;4,8;5;4,8;3,8;1,4;1;5
Murcia;Minimo;1;1;1;1;1;1;1,7;1,6;1;1;1;1;1
Murcia;Cuartil_1;1;1;1;1;1;1,5;2,7;2,9;1,3;1,1;1;1;1
Murcia;Mediana;1,1;1,1;1;1;1,9;2;3,3;3,7;1,7;1,3;1;1;1,3
Murcia;Media;1,2;1,4;1,7;1;1,7;2;3,3;3,5;2,1;1,6;1;1,1;1,8
Murcia;Cuartil_3;1,4;1,6;2,3;1;2,1;2,4;4;4,1;2,7;1,7;1;1,2;2,4
Murcia;Maximo;2;2,6;3,9;1,4;3;3,5;4,5;4,7;4,7;4,5;1,7;1,6;4,7
Navarra;Minimo;1;1,1;1;1;1;1;1;1,1;1;1;1;1;1
Navarra;Cuartil_1;1,1;1,6;1,1;1;1,4;1;3;3,5;1,2;1;1;1;1
Navarra;Mediana;1,3;1,7;1,3;1,2;2,1;1,2;3,3;4;3,7;1;1,1;1;1,4
Navarra;Media;1,3;1,8;1,5;1,4;2,1;1,6;3,4;3,9;3;1,1;1,2;1;1,9
Navarra;Cuartil_3;1,5;2;1,8;1,5;2,8;1,7;4,3;4,6;4,5;1;1,3;1;2,5
Navarra;Maximo;2,2;2,6;2,7;2,9;3,3;3,4;5;5;5;2,1;2;1,4;5
Ourense;Minimo;1;1;1;1;1;1;2,3;1;1;1;1;1;1
Ourense;Cuartil_1;1;1,3;1;1;1,5;1,3;3,5;1,4;1;1;1;1;1
Ourense;Mediana;1,4;1,6;1,8;1,1;2,1;1,8;4;2,7;3,2;1;1;1;1,3
Ourense;Media;1,4;1,7;1,7;1,3;2,1;1,8;3,9;2,8;2,7;1;1;1;1,9
Ourense;Cuartil_3;1,7;2;2;1,3;2,9;2,2;4,4;4,2;4,2;1;1;1;2,3
Ourense;Maximo;2;2,5;2,6;2,8;3,3;3,4;5;5;5;2,1;1,1;1;5
Asturias;Minimo;1,1;1,1;1,1;1,1;1,1;1;1,4;1;1;1;1;1;1
Asturias;Cuartil_1;1,2;1,8;1,4;1,2;1,6;1,1;2;1;1;1;1;1;1,1
Asturias;Mediana;1,6;2,2;1,9;1,4;2,5;1,3;2,9;1,9;1,6;1;1,2;1;1,5
Asturias;Media;1,8;2,2;1,9;1,5;2,6;1,6;2,9;2,3;2;1,2;1,4;1;1,9
Asturias;Cuartil_3;2,3;2,6;2,3;1,8;3,4;2;3,6;3,5;2,9;1,1;1,6;1;2,4
Asturias;Maximo;3,6;4,1;3;3;4,4;3,4;4,8;4,8;4,6;3,6;3,3;1,9;4,8
Palencia;Minimo;1;1;1;1;1;1;1,2;1;1;1;1;1;1
Palencia;Cuartil_1;1;1,1;1,6;1;1,1;1;2,9;1,2;1;1;1;1;1
Palencia;Mediana;1,3;1,6;1,9;1;2;1,1;3,4;2,8;1,6;1;1;1;1,2
Palencia;Media;1,3;1,6;1,9;1,2;2;1,4;3,3;2,7;2,1;1,1;1;1;1,7
Palencia;Cuartil_3;1,5;2,1;2;1,2;2,6;1,6;3,8;3,6;3,2;1;1;1;2,1
Palencia;Maximo;2;2,7;2,7;2,1;3,1;2,4;5;5;4,2;2,9;1,2;1,1;5
Las Palmas;Minimo;1;1,3;1;1;1,4;1,2;1,5;1,5;1;1;1;1;1
Las Palmas;Cuartil_1;1,3;2,2;1,2;1,3;2;1,7;2,4;2,2;1,5;1,1;1;1;1,3
Las Palmas;Mediana;1,7;2,7;1,9;1,4;2,3;2,4;2,8;2,8;1,7;1,5;1,4;1;2
Las Palmas;Media;1,8;2,8;1,9;1,7;2,3;2,4;2,8;3;2,1;1,6;1,7;1,1;2,1
Las Palmas;Cuartil_3;2,2;3,5;2,5;1,9;2,5;3;3,3;3,8;2,5;1,8;2,1;1;2,7
Las Palmas;Maximo;3,2;4,7;4;3,3;3,6;3,6;4,5;4,8;4,4;4;3,9;2,2;4,8
Pontevedra;Minimo;1;1;1;1;1;1;2;1;1;1;1;1;1
Pontevedra;Cuartil_1;1;1;1;1;1,6;1,1;3,7;1,1;1;1;1;1;1
Pontevedra;Mediana;1,1;1,1;1,5;1;2,1;1,8;4,1;1,5;2,6;1;1;1;1,1
Pontevedra;Media;1,4;1,4;1,6;1,3;2,2;1,8;4;2,4;2,4;1;1;1;1,8
Pontevedra;Cuartil_3;1,9;1,7;2;1,6;3;2,3;4,5;4;3,9;1;1;1;2,1
Pontevedra;Maximo;2,1;2,3;3,4;3,2;3,9;2,9;5;4,9;4,7;1,5;1,3;1;5
Salamanca;Minimo;1;1;1;1;1;1;2;1,1;1;1;1;1;1
Salamanca;Cuartil_1;1;1;1;1;1,1;1,1;3,3;2,8;1;1;1;1;1
Salamanca;Mediana;1,1;1,5;1,3;1;1,8;1,8;3,6;3,6;2,6;1;1;1;1,1
Salamanca;Media;1,2;1,5;1,4;1;1,7;1,7;3,8;3,6;2,5;1,1;1;1;1,8
Salamanca;Cuartil_3;1,2;2;1,8;1;2;2;4,6;4,6;3,8;1;1;1;2
Salamanca;Maximo;1,8;2;2;1,8;2,5;2,9;5;5;4,8;4,6;1;1;5
Santa Cruz de Tenerife;Minimo;1,3;2,1;1;1,2;1,4;1,2;2,5;2,2;1;1;1;1;1
Santa Cruz de Tenerife;Cuartil_1;1,5;2,3;1,2;1,3;1,8;1,8;3,1;2,7;2;1;1;1;1,3
Santa Cruz de Tenerife;Mediana;1,9;2,9;2,1;1,5;2,1;2,2;3,5;3,6;2,6;1,2;1,2;1;2,1
Santa Cruz de Tenerife;Media;2;3;2,1;1,5;2,4;2,1;3,4;3,5;2,5;1,3;1,4;1;2,2
Santa Cruz de Tenerife;Cuartil_3;2,5;3,5;2,8;1,8;2,9;2,5;3,7;4,3;2,9;1,4;1,8;1;2,9
Santa Cruz de Tenerife;Maximo;3,4;4,4;3,7;2,2;3,8;2,9;4,5;4,8;4,5;2,3;2,8;1,1;4,8
Cantabria;Minimo;1,1;1,1;1,1;1,1;1,1;1;1,1;1;1;1;1;1;1
Cantabria;Cuartil_1;1,2;1,5;1,2;1,1;1,4;1;1,7;1,1;1,1;1;1;1;1,1
Cantabria;Mediana;1,5;1,9;1,8;1,4;2,6;1,1;2,6;1,6;2,2;1;1,6;1;1,5
Cantabria;Media;1,8;2;1,8;1,6;2,4;1,5;2,7;2,4;2,5;1,2;1,8;1,1;1,9
Cantabria;Cuartil_3;2,2;2,2;2,2;1,8;3,1;1,8;3,7;3,8;3,9;1;2,6;1;2,4
Cantabria;Maximo;3,1;3,7;2,9;3,3;4;3,1;4,5;4,9;4,9;3,6;3,6;2,6;4,9
Segovia;Minimo;1;1;1;1;1;1;1,1;1;1;1;1;1;1
Segovia;Cuartil_1;1;1,3;1,1;1;1,1;1;2,9;2,3;1;1;1;1;1
Segovia;Mediana;1,3;1,9;1,6;1;1,9;1,4;3,6;3,7;1,8;1;1;1;1,2
Segovia;Media;1,4;1,7;1,6;1,1;1,8;1,5;3,5;3,4;2,3;1;1;1;1,8
Segovia;Cuartil_3;1,7;2;2;1;2,2;1,9;4;4,4;3,5;1;1;1;2,1
Segovia;Maximo;2,1;2,9;2,6;2;3,3;2,9;5;5;4,6;1,9;1;1;5
Sevilla;Minimo;1;1;1;1;1;1;1,4;1;1;1;1;1;1
Sevilla;Cuartil_1;1;1;1;1;1;1,9;2,9;2;1,1;1;1;1;1
Sevilla;Mediana;1;1,1;1,4;1;2;2,1;3,5;2,9;1,5;1;1;1;1,2
Sevilla;Media;1,1;1,4;1,5;1,1;1,8;2,3;3,4;2,9;2,1;1,4;1;1;1,8
Sevilla;Cuartil_3;1,1;1,9;2;1,1;2,2;2,8;4,1;3,8;2,8;1,5;1;1;2,2
Sevilla;Maximo;1,4;2,1;2,6;1,4;2,8;4,3;4,9;4,6;4,9;3,9;1;1;4,9
Soria;Minimo;1;1;1;1;1;1;1,3;1;1;1;1;1;1
Soria;Cuartil_1;1;1,3;1;1;1,1;1;2,8;3,2;1;1;1;1;1
Soria;Mediana;1,4;1,6;1,2;1;1,6;1;3,4;4,2;2,6;1;1;1;1,1
Soria;Media;1,4;1,7;1,4;1,1;1,7;1,3;3,3;3,8;2,4;1,1;1;1;1,8
Soria;Cuartil_3;1,8;2,2;1,6;1;2,1;1,7;4;4,5;3,8;1;1;1;2,1
Soria;Maximo;2,1;2,9;2,1;2;2,9;2,4;5;5;4,8;2,2;1,1;1;5
Tarragona;Minimo;1;1;1;1;1;1;1,4;1;1;1;1;1;1
Tarragona;Cuartil_1;1;1,1;1;1;1;1;2,5;2,2;1,5;1;1;1;1
Tarragona;Mediana;1;1,6;1,2;1;1,5;1,4;3,2;3,5;1,9;1,3;1;1;1,3
Tarragona;Media;1,1;1,7;1,6;1,1;1,6;1,6;3,1;3,1;2,1;1,7;1,1;1;1,7
Tarragona;Cuartil_3;1,1;2;2,2;1,2;2,1;2;3,7;4,2;2,5;2;1;1;2,2
Tarragona;Maximo;1,8;4,1;4,1;2,3;2,7;2,7;4,2;4,8;3,8;3,8;1,9;1,4;4,8
Teruel;Minimo;1;1,1;1;1;1;1;1;2;1,1;1;1;1;1
Teruel;Cuartil_1;1;1,4;1;1;1,1;1,1;2,2;3,8;2,4;1;1;1;1
Teruel;Mediana;1,6;1,8;1,2;1;1,8;1,3;3;4,1;3,1;1,3;1;1;1,5
Teruel;Media;1,5;1,9;1,5;1,1;1,8;1,5;3;4;3;1,6;1,1;1;1,9
Teruel;Cuartil_3;1,8;2,3;1,7;1;2,4;1,8;3,6;4,5;3,5;2;1;1;2,4
Teruel;Maximo;2,4;3,3;3,2;2,1;3;2,4;4,6;4,9;4,6;4,1;1,9;1;4,9
