Provincia;Niveles;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Barcelona;Muy_Alto;  0,00;  0,00;  0,00;  3,33; 29,03; 33,33; 16,13;  9,68;  0,00;  0,00;  3,33;  0,00;  7,95
Barcelona;Extremo;  0,00;  0,00;  0,00;  0,00;  6,45; 20,00; 58,06; 38,71;  0,00;  0,00;  0,00;  0,00; 10,41
Burgos;Bajo;100,00; 92,86; 96,77; 83,33; 58,06; 23,33;  0,00;  6,45;  6,67; 19,35; 83,33;100,00; 55,62
Burgos;Moderado;  0,00;  7,14;  3,23; 16,67; 29,03; 23,33;  6,45;  3,23; 26,67; 41,94; 16,67;  0,00; 14,52
Burgos;Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 26,67; 16,13; 22,58; 23,33; 22,58;  0,00;  0,00; 10,14
Burgos;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  3,23; 13,33; 38,71; 41,94; 26,67;  9,68;  0,00;  0,00; 11,23
Burgos;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 13,33; 38,71; 25,81; 16,67;  6,45;  0,00;  0,00;  8,49
Caceres;Bajo;100,00;100,00;100,00;100,00; 74,19; 43,33;  0,00;  0,00; 66,67; 93,55;100,00;100,00; 72,88
Caceres;Moderado;  0,00;  0,00;  0,00;  0,00; 12,90; 16,67;  3,23; 19,35; 26,67;  6,45;  0,00;  0,00;  7,12
Caceres;Alto;  0,00;  0,00;  0,00;  0,00; 12,90;  6,67; 22,58; 12,90;  6,67;  0,00;  0,00;  0,00;  5,21
Caceres;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00; 23,33; 32,26; 54,84;  0,00;  0,00;  0,00;  0,00;  9,32
Caceres;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 10,00; 41,94; 12,90;  0,00;  0,00;  0,00;  0,00;  5,48
Cadiz;Bajo;100,00; 96,43;100,00;100,00; 74,19; 26,67;  9,68;  9,68; 36,67; 41,94; 96,67;100,00; 65,75
Cadiz;Moderado;  0,00;  3,57;  0,00;  0,00;  6,45; 30,00; 22,58; 41,94; 26,67; 32,26;  3,33;  0,00; 13,97
Cadiz;Alto;  0,00;  0,00;  0,00;  0,00; 16,13; 26,67;  9,68; 22,58; 33,33; 16,13;  0,00;  0,00; 10,41
Cadiz;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  3,23; 10,00; 25,81; 22,58;  3,33;  9,68;  0,00;  0,00;  6,30
Cadiz;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  6,67; 32,26;  3,23;  0,00;  0,00;  0,00;  0,00;  3,56
Castellon;Bajo; 80,65; 39,29;100,00;100,00; 87,10; 36,67; 19,35;  9,68; 50,00; 90,32; 83,33;100,00; 66,58
Castellon;Moderado; 12,90; 28,57;  0,00;  0,00; 12,90; 33,33; 29,03; 16,13; 30,00;  9,68; 13,33;  0,00; 15,34
Castellon;Alto;  6,45; 32,14;  0,00;  0,00;  0,00; 16,67; 35,48; 22,58; 16,67;  0,00;  3,33;  0,00; 10,96
Castellon;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00; 13,33; 16,13; 48,39;  3,33;  0,00;  0,00;  0,00;  6,85
Castellon;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00;  3,23;  0,00;  0,00;  0,00;  0,00;  0,27
Ciudad Real;Bajo;100,00;100,00;100,00;100,00; 58,06; 10,00;  0,00;  9,68; 56,67; 74,19;100,00;100,00; 67,12
Ciudad Real;Moderado;  0,00;  0,00;  0,00;  0,00;  9,68; 26,67;  3,23; 12,90; 20,00; 16,13;  0,00;  0,00;  7,40
Ciudad Real;Alto;  0,00;  0,00;  0,00;  0,00; 19,35; 16,67; 19,35; 32,26; 16,67;  6,45;  0,00;  0,00;  9,32
Ciudad Real;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 23,33; 35,48; 38,71;  6,67;  3,23;  0,00;  0,00;  9,86
Ciudad Real;Extremo;  0,00;  0,00;  0,00;  0,00;  3,23; 23,33; 41,94;  6,45;  0,00;  0,00;  0,00;  0,00;  6,30
Cordoba;Bajo;100,00; 96,43;100,00;100,00; 58,06; 10,00;  0,00;  0,00; 53,33; 61,29;100,00;100,00; 64,66
Cordoba;Moderado;  0,00;  3,57;  0,00;  0,00; 19,35; 16,67;  6,45; 19,35; 20,00; 29,03;  0,00;  0,00;  9,59
Cordoba;Alto;  0,00;  0,00;  0,00;  0,00; 16,13; 33,33; 22,58; 38,71; 20,00;  6,45;  0,00;  0,00; 11,51
Cordoba;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  6,45; 10,00; 22,58; 29,03;  6,67;  3,23;  0,00;  0,00;  6,58
Cordoba;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 30,00; 48,39; 12,90;  0,00;  0,00;  0,00;  0,00;  7,67
A Coruña;Bajo; 87,10; 89,29;100,00; 90,00; 51,61; 90,00;  6,45;  9,68; 66,67;100,00; 96,67;100,00; 73,70
A Coruña;Moderado; 12,90; 10,71;  0,00;  6,67; 32,26; 10,00; 19,35; 25,81; 33,33;  0,00;  3,33;  0,00; 12,88
A Coruña;Alto;  0,00;  0,00;  0,00;  3,33; 16,13;  0,00; 45,16; 25,81;  0,00;  0,00;  0,00;  0,00;  7,67
A Coruña;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00; 29,03; 35,48;  0,00;  0,00;  0,00;  0,00;  5,48
A Coruña;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00;  3,23;  0,00;  0,00;  0,00;  0,00;  0,27
Cuenca;Bajo; 96,77; 89,29;100,00;100,00; 58,06;  3,33;  3,23;  3,23; 60,00; 83,87; 90,00;100,00; 65,48
Cuenca;Moderado;  3,23; 10,71;  0,00;  0,00; 16,13; 16,67;  9,68; 16,13;  6,67; 16,13; 10,00;  0,00;  8,77
Cuenca;Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 23,33;  9,68; 12,90;  6,67;  0,00;  0,00;  0,00;  5,21
Cuenca;Muy_Alto;  0,00;  0,00;  0,00;  0,00; 16,13; 23,33; 38,71; 51,61; 20,00;  0,00;  0,00;  0,00; 12,60
Cuenca;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 33,33; 38,71; 16,13;  6,67;  0,00;  0,00;  0,00;  7,95
Girona;Bajo; 38,71; 32,14; 90,32; 70,00; 29,03;  0,00;  0,00;  3,23; 26,67; 45,16; 56,67; 80,65; 39,45
Girona;Moderado; 51,61; 57,14;  9,68; 20,00; 22,58; 13,33;  3,23; 12,90; 20,00; 41,94; 26,67; 19,35; 24,66
Girona;Alto;  9,68; 10,71;  0,00; 10,00; 32,26; 20,00; 16,13; 16,13; 26,67; 12,90; 16,67;  0,00; 14,25
Girona;Muy_Alto;  0,00;  0,00;  0,00;  0,00; 12,90; 46,67; 29,03; 61,29; 26,67;  0,00;  0,00;  0,00; 14,79
Girona;Extremo;  0,00;  0,00;  0,00;  0,00;  3,23; 20,00; 51,61;  6,45;  0,00;  0,00;  0,00;  0,00;  6,85
Granada;Bajo;100,00; 92,86;100,00;100,00; 54,84;  3,33;  0,00;  0,00; 36,67; 35,48; 46,67;100,00; 55,62
Granada;Moderado;  0,00;  7,14;  0,00;  0,00; 12,90; 10,00;  0,00;  3,23; 30,00;  9,68; 33,33;  0,00;  8,77
Granada;Alto;  0,00;  0,00;  0,00;  0,00; 19,35; 33,33; 16,13; 12,90; 10,00; 38,71; 16,67;  0,00; 12,33
Granada;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 20,00; 48,39; 70,97; 20,00; 12,90;  3,33;  0,00; 15,62
Granada;Extremo;  0,00;  0,00;  0,00;  0,00;  3,23; 33,33; 35,48; 12,90;  3,33;  3,23;  0,00;  0,00;  7,67
Guadalajara;Bajo; 96,77; 85,71;100,00; 90,00; 64,52;  0,00;  3,23;  6,45; 56,67; 74,19;100,00;100,00; 64,66
Guadalajara;Moderado;  3,23; 14,29;  0,00; 10,00; 22,58; 20,00;  6,45; 12,90; 10,00; 25,81;  0,00;  0,00; 10,41
Guadalajara;Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 30,00;  9,68; 12,90;  3,33;  0,00;  0,00;  0,00;  5,48
Guadalajara;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  3,23; 33,33; 41,94; 54,84; 30,00;  0,00;  0,00;  0,00; 13,70
Guadalajara;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 16,67; 38,71; 12,90;  0,00;  0,00;  0,00;  0,00;  5,75
Gipuzkoa;Bajo; 87,10; 96,43; 70,97; 73,33; 45,16; 50,00; 19,35; 25,81; 36,67; 29,03; 80,00; 83,87; 57,81
Gipuzkoa;Moderado;  0,00;  3,57; 19,35; 10,00; 12,90; 16,67; 16,13; 12,90;  3,33;  9,68;  0,00;  9,68;  9,59
Gipuzkoa;Alto;  9,68;  0,00;  6,45; 10,00; 16,13; 10,00; 22,58; 12,90; 10,00; 16,13; 10,00;  3,23; 10,68
Gipuzkoa;Muy_Alto;  3,23;  0,00;  3,23;  6,67; 16,13;  6,67; 12,90; 16,13; 13,33; 16,13; 10,00;  3,23;  9,04
Gipuzkoa;Extremo;  0,00;  0,00;  0,00;  0,00;  9,68; 16,67; 29,03; 32,26; 36,67; 29,03;  0,00;  0,00; 12,88
Huelva;Bajo;100,00; 92,86;100,00; 96,67; 61,29; 33,33;  6,45; 19,35; 66,67; 90,32;100,00;100,00; 72,05
Huelva;Moderado;  0,00;  7,14;  0,00;  3,33; 19,35;  3,33;  6,45; 38,71; 20,00;  6,45;  0,00;  0,00;  8,77
Huelva;Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 33,33; 22,58; 22,58; 10,00;  3,23;  0,00;  0,00;  8,49
Huelva;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  6,45; 23,33; 25,81; 12,90;  3,33;  0,00;  0,00;  0,00;  6,03
Huelva;Extremo;  0,00;  0,00;  0,00;  0,00;  3,23;  6,67; 38,71;  6,45;  0,00;  0,00;  0,00;  0,00;  4,66
Huesca;Bajo; 80,65; 32,14; 90,32; 66,67; 32,26; 10,00; 12,90;  6,45; 36,67; 58,06;100,00;100,00; 52,33
Huesca;Moderado; 19,35; 67,86;  9,68; 16,67; 16,13; 16,67;  9,68;  9,68; 30,00; 35,48;  0,00;  0,00; 18,90
Huesca;Alto;  0,00;  0,00;  0,00; 13,33; 22,58; 16,67; 16,13; 32,26; 16,67;  6,45;  0,00;  0,00; 10,41
Huesca;Muy_Alto;  0,00;  0,00;  0,00;  3,33; 22,58; 23,33; 25,81; 38,71; 16,67;  0,00;  0,00;  0,00; 10,96
Huesca;Extremo;  0,00;  0,00;  0,00;  0,00;  6,45; 33,33; 35,48; 12,90;  0,00;  0,00;  0,00;  0,00;  7,40
Jaen;Bajo;100,00;100,00;100,00;100,00; 64,52; 16,67;  0,00;  3,23; 50,00; 51,61; 83,33;100,00; 63,84
Jaen;Moderado;  0,00;  0,00;  0,00;  0,00; 12,90; 13,33;  0,00;  0,00; 13,33; 32,26; 16,67;  0,00;  7,40
Jaen;Alto;  0,00;  0,00;  0,00;  0,00; 19,35; 23,33; 12,90; 29,03; 23,33; 16,13;  0,00;  0,00; 10,41
Jaen;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  3,23; 16,67; 45,16; 64,52; 13,33;  0,00;  0,00;  0,00; 12,05
Jaen;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 30,00; 41,94;  3,23;  0,00;  0,00;  0,00;  0,00;  6,30
Leon;Bajo; 87,10; 71,43;100,00; 90,00; 29,03; 43,33;  3,23;  3,23; 30,00; 67,74;100,00;100,00; 60,27
Leon;Moderado; 12,90; 28,57;  0,00; 10,00; 45,16; 33,33; 19,35;  6,45; 23,33; 19,35;  0,00;  0,00; 16,44
Leon;Alto;  0,00;  0,00;  0,00;  0,00; 12,90; 10,00;  6,45; 19,35; 30,00; 12,90;  0,00;  0,00;  7,67
Leon;Muy_Alto;  0,00;  0,00;  0,00;  0,00; 12,90; 13,33; 38,71; 54,84;  6,67;  0,00;  0,00;  0,00; 10,68
Leon;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00; 32,26; 16,13; 10,00;  0,00;  0,00;  0,00;  4,93
Lleida;Bajo; 54,84; 39,29; 87,10; 66,67; 32,26; 10,00; 12,90;  9,68; 33,33; 48,39; 70,00;100,00; 47,12
Lleida;Moderado; 45,16; 57,14; 12,90; 20,00; 19,35; 10,00;  9,68; 12,90; 36,67; 48,39; 30,00;  0,00; 24,93
Lleida;Alto;  0,00;  3,57;  0,00; 13,33; 22,58;  6,67;  9,68; 29,03; 23,33;  3,23;  0,00;  0,00;  9,32
Lleida;Muy_Alto;  0,00;  0,00;  0,00;  0,00; 12,90; 40,00; 29,03; 38,71;  6,67;  0,00;  0,00;  0,00; 10,68
Lleida;Extremo;  0,00;  0,00;  0,00;  0,00; 12,90; 33,33; 38,71;  9,68;  0,00;  0,00;  0,00;  0,00;  7,95
La Rioja;Bajo; 87,10; 82,14; 96,77; 80,00; 51,61; 16,67;  3,23;  0,00; 10,00; 25,81; 70,00;100,00; 51,78
La Rioja;Moderado; 12,90; 17,86;  3,23; 20,00; 19,35; 10,00;  9,68;  6,45;  3,33; 29,03; 20,00;  0,00; 12,60
La Rioja;Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 30,00;  9,68;  9,68; 20,00; 12,90; 10,00;  0,00;  8,49
La Rioja;Muy_Alto;  0,00;  0,00;  0,00;  0,00; 16,13; 23,33;  9,68; 38,71; 23,33; 25,81;  0,00;  0,00; 11,51
La Rioja;Extremo;  0,00;  0,00;  0,00;  0,00;  3,23; 20,00; 67,74; 45,16; 43,33;  6,45;  0,00;  0,00; 15,62
Lugo;Bajo; 90,32; 89,29; 96,77; 86,67; 48,39; 83,33; 12,90;  9,68; 33,33; 74,19; 96,67;100,00; 68,22
Lugo;Moderado;  9,68; 10,71;  3,23; 10,00; 38,71; 16,67; 12,90;  9,68; 30,00; 16,13;  3,33;  0,00; 13,42
Lugo;Alto;  0,00;  0,00;  0,00;  3,33; 12,90;  0,00; 35,48; 22,58; 26,67;  9,68;  0,00;  0,00;  9,32
Lugo;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00; 32,26; 51,61; 10,00;  0,00;  0,00;  0,00;  7,95
Lugo;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00;  6,45;  6,45;  0,00;  0,00;  0,00;  0,00;  1,10
Madrid;Bajo;100,00;100,00;100,00;100,00; 90,32;  6,67;  0,00;  9,68; 63,33; 96,77;100,00;100,00; 72,05
Madrid;Moderado;  0,00;  0,00;  0,00;  0,00;  9,68; 23,33;  9,68;  9,68;  6,67;  0,00;  0,00;  0,00;  4,93
Madrid;Alto;  0,00;  0,00;  0,00;  0,00;  0,00; 33,33; 16,13; 29,03; 13,33;  3,23;  0,00;  0,00;  7,95
Madrid;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00; 26,67; 38,71; 45,16; 16,67;  0,00;  0,00;  0,00; 10,68
Madrid;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 10,00; 35,48;  6,45;  0,00;  0,00;  0,00;  0,00;  4,38
Malaga;Bajo;100,00; 96,43;100,00;100,00; 67,74;  0,00;  3,23;  0,00; 30,00; 48,39; 56,67;100,00; 58,36
Malaga;Moderado;  0,00;  3,57;  0,00;  0,00; 25,81; 40,00; 12,90; 22,58; 20,00; 29,03; 40,00;  0,00; 16,16
Malaga;Alto;  0,00;  0,00;  0,00;  0,00;  6,45; 20,00; 32,26; 25,81; 33,33; 12,90;  3,33;  0,00; 11,23
Malaga;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00; 33,33; 35,48; 35,48; 16,67;  9,68;  0,00;  0,00; 10,96
Malaga;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  6,67; 16,13; 16,13;  0,00;  0,00;  0,00;  0,00;  3,29
Murcia;Bajo; 93,55; 89,29;100,00;100,00; 64,52;  3,33;  3,23;  3,23; 50,00; 87,10; 66,67;100,00; 63,29
Murcia;Moderado;  6,45; 10,71;  0,00;  0,00; 19,35; 20,00;  9,68;  9,68; 13,33; 12,90; 30,00;  0,00; 10,96
Murcia;Alto;  0,00;  0,00;  0,00;  0,00; 12,90; 33,33; 32,26; 29,03; 30,00;  0,00;  3,33;  0,00; 11,78
Murcia;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  3,23; 20,00; 25,81; 29,03;  6,67;  0,00;  0,00;  0,00;  7,12
Murcia;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 23,33; 29,03; 29,03;  0,00;  0,00;  0,00;  0,00;  6,85
Navarra;Bajo; 93,55; 92,86; 87,10; 76,67; 22,58; 10,00;  6,45;  0,00;  6,67; 22,58; 83,33; 96,77; 49,59
Navarra;Moderado;  6,45;  7,14; 12,90; 16,67; 22,58; 23,33;  9,68;  6,45; 13,33; 29,03; 16,67;  3,23; 13,97
Navarra;Alto;  0,00;  0,00;  0,00;  3,33; 32,26; 30,00; 29,03; 19,35; 36,67; 25,81;  0,00;  0,00; 14,79
Navarra;Muy_Alto;  0,00;  0,00;  0,00;  3,33;  9,68; 16,67; 29,03; 58,06; 23,33; 22,58;  0,00;  0,00; 13,70
Navarra;Extremo;  0,00;  0,00;  0,00;  0,00; 12,90; 20,00; 25,81; 16,13; 20,00;  0,00;  0,00;  0,00;  7,95
Ourense;Bajo; 87,10; 85,71;100,00; 96,67; 54,84; 80,00; 19,35;  9,68; 40,00; 74,19;100,00;100,00; 70,41
Ourense;Moderado; 12,90; 14,29;  0,00;  3,33; 38,71; 10,00;  6,45;  6,45; 33,33; 22,58;  0,00;  0,00; 12,33
Ourense;Alto;  0,00;  0,00;  0,00;  0,00;  6,45; 10,00;  9,68;  6,45; 16,67;  3,23;  0,00;  0,00;  4,38
Ourense;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00; 41,94; 58,06; 10,00;  0,00;  0,00;  0,00;  9,32
Ourense;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00; 22,58; 19,35;  0,00;  0,00;  0,00;  0,00;  3,56
Asturias;Bajo; 58,06; 57,14; 74,19; 80,00; 32,26; 83,33; 29,03; 25,81; 43,33; 51,61; 83,33; 90,32; 58,90
Asturias;Moderado; 32,26; 35,71; 25,81; 16,67; 35,48;  3,33; 12,90; 19,35; 16,67; 38,71; 10,00;  9,68; 21,37
Asturias;Alto;  6,45;  7,14;  0,00;  0,00; 19,35;  6,67; 12,90; 29,03;  3,33;  6,45;  3,33;  0,00;  7,95
Asturias;Muy_Alto;  3,23;  0,00;  0,00;  3,33; 12,90;  6,67; 29,03; 25,81; 36,67;  3,23;  3,33;  0,00; 10,41
Asturias;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00; 16,13;  0,00;  0,00;  0,00;  0,00;  0,00;  1,37
Palencia;Bajo;100,00; 96,43;100,00; 86,67; 51,61; 20,00;  0,00;  3,23; 30,00; 58,06;100,00;100,00; 61,92
Palencia;Moderado;  0,00;  3,57;  0,00; 10,00; 25,81; 40,00;  3,23;  6,45; 13,33; 22,58;  0,00;  0,00; 10,41
Palencia;Alto;  0,00;  0,00;  0,00;  3,33; 12,90; 10,00; 22,58; 22,58; 30,00; 12,90;  0,00;  0,00;  9,59
Palencia;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 20,00; 48,39; 48,39; 13,33;  6,45;  0,00;  0,00; 12,33
Palencia;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 10,00; 25,81; 19,35; 13,33;  0,00;  0,00;  0,00;  5,75
Las Palmas;Bajo; 64,52; 71,43; 77,42; 63,33; 51,61; 20,00;  3,23;  6,45; 70,00;100,00; 76,67; 83,87; 57,26
Las Palmas;Moderado; 19,35; 17,86; 16,13; 23,33; 35,48; 30,00; 58,06; 61,29; 16,67;  0,00;  3,33;  9,68; 24,38
Las Palmas;Alto;  9,68;  3,57;  6,45; 10,00; 12,90; 46,67; 29,03; 29,03; 13,33;  0,00; 20,00;  3,23; 15,34
Las Palmas;Muy_Alto;  6,45;  7,14;  0,00;  3,33;  0,00;  3,33;  3,23;  3,23;  0,00;  0,00;  0,00;  3,23;  2,47
Las Palmas;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00;  6,45;  0,00;  0,00;  0,00;  0,00;  0,00;  0,55
Pontevedra;Bajo; 90,32; 82,14; 96,77; 80,00; 45,16;100,00; 19,35;  9,68; 60,00; 87,10;100,00;100,00; 72,33
Pontevedra;Moderado;  9,68; 17,86;  3,23; 20,00; 41,94;  0,00; 12,90;  3,23; 23,33; 12,90;  0,00;  0,00; 12,05
Pontevedra;Alto;  0,00;  0,00;  0,00;  0,00; 12,90;  0,00; 29,03; 38,71; 16,67;  0,00;  0,00;  0,00;  8,22
Pontevedra;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00; 38,71; 45,16;  0,00;  0,00;  0,00;  0,00;  7,12
Pontevedra;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00;  3,23;  0,00;  0,00;  0,00;  0,00;  0,27
Salamanca;Bajo;100,00; 75,00;100,00;100,00; 51,61; 33,33;  3,23;  0,00; 56,67; 90,32;100,00;100,00; 67,40
Salamanca;Moderado;  0,00; 25,00;  0,00;  0,00; 29,03; 30,00;  6,45; 16,13; 23,33;  6,45;  0,00;  0,00; 11,23
Salamanca;Alto;  0,00;  0,00;  0,00;  0,00; 19,35; 10,00; 19,35; 12,90; 10,00;  3,23;  0,00;  0,00;  6,30
Salamanca;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00; 16,67; 38,71; 41,94; 10,00;  0,00;  0,00;  0,00;  9,04
