Provincia;Niveles;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Araba;Bajo; 90,32;100,00; 90,32; 80,00; 41,94; 20,00;  6,45;  0,00; 13,33; 22,58; 80,00; 87,10; 52,33
Araba;Moderado;  9,68;  0,00;  9,68; 13,33; 22,58; 26,67;  3,23;  3,23; 13,33;  9,68;  6,67; 12,90; 10,96
Araba;Alto;  0,00;  0,00;  0,00;  6,67; 19,35; 23,33; 12,90; 29,03; 13,33; 19,35; 13,33;  0,00; 11,51
Araba;Muy_Alto;  0,00;  0,00;  0,00;  0,00; 12,90; 10,00; 38,71; 12,90;  6,67; 29,03;  0,00;  0,00;  9,32
Araba;Extremo;  0,00;  0,00;  0,00;  0,00;  3,23; 20,00; 38,71; 54,84; 53,33; 19,35;  0,00;  0,00; 15,89
Albacete;Bajo; 96,77; 92,86;100,00;100,00; 61,29;  6,67;  0,00;  0,00; 50,00; 67,74; 73,33;100,00; 62,19
Albacete;Moderado;  3,23;  3,57;  0,00;  0,00; 12,90; 23,33; 12,90;  9,68; 10,00; 22,58; 23,33;  0,00; 10,14
Albacete;Alto;  0,00;  3,57;  0,00;  0,00; 19,35; 26,67; 16,13; 22,58; 20,00;  9,68;  3,33;  0,00; 10,14
Albacete;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  6,45; 16,67; 38,71; 45,16; 16,67;  0,00;  0,00;  0,00; 10,41
Albacete;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 26,67; 32,26; 22,58;  3,33;  0,00;  0,00;  0,00;  7,12
Alicante;Bajo; 80,65; 67,86;100,00;100,00; 67,74;  3,33;  3,23;  3,23; 56,67; 87,10; 50,00; 96,77; 59,73
Alicante;Moderado;  9,68; 21,43;  0,00;  0,00; 12,90; 36,67; 29,03; 19,35;  6,67; 12,90; 36,67;  3,23; 15,62
Alicante;Alto;  6,45; 10,71;  0,00;  0,00; 19,35; 26,67; 12,90; 19,35; 13,33;  0,00;  6,67;  0,00;  9,59
Alicante;Muy_Alto;  3,23;  0,00;  0,00;  0,00;  0,00; 26,67; 25,81; 12,90; 23,33;  0,00;  6,67;  0,00;  8,22
Alicante;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  6,67; 29,03; 45,16;  0,00;  0,00;  0,00;  0,00;  6,85
Almeria;Bajo; 93,55; 82,14;100,00;100,00; 70,97;  0,00;  0,00;  3,23; 33,33; 45,16; 53,33;100,00; 56,71
Almeria;Moderado;  6,45; 17,86;  0,00;  0,00; 25,81; 13,33; 19,35;  3,23; 36,67; 32,26; 46,67;  0,00; 16,71
Almeria;Alto;  0,00;  0,00;  0,00;  0,00;  3,23; 43,33; 41,94; 32,26; 20,00; 19,35;  0,00;  0,00; 13,42
Almeria;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00; 33,33; 19,35; 51,61; 10,00;  3,23;  0,00;  0,00;  9,86
Almeria;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 10,00; 19,35;  9,68;  0,00;  0,00;  0,00;  0,00;  3,29
Avila;Bajo;100,00;100,00;100,00;100,00; 87,10; 43,33;  0,00;  9,68; 66,67;100,00;100,00;100,00; 75,34
Avila;Moderado;  0,00;  0,00;  0,00;  0,00; 12,90; 20,00; 16,13; 22,58; 20,00;  0,00;  0,00;  0,00;  7,67
Avila;Alto;  0,00;  0,00;  0,00;  0,00;  0,00; 26,67;  9,68;  9,68; 10,00;  0,00;  0,00;  0,00;  4,66
Avila;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00; 10,00; 41,94; 35,48;  3,33;  0,00;  0,00;  0,00;  7,67
Avila;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00; 32,26; 22,58;  0,00;  0,00;  0,00;  0,00;  4,66
Badajoz;Bajo;100,00; 96,43;100,00;100,00; 58,06; 26,67;  3,23;  3,23; 70,00; 77,42;100,00;100,00; 69,32
Badajoz;Moderado;  0,00;  3,57;  0,00;  0,00; 19,35; 26,67;  3,23; 32,26; 26,67; 19,35;  0,00;  0,00; 10,96
Badajoz;Alto;  0,00;  0,00;  0,00;  0,00; 12,90;  6,67; 19,35;  9,68;  3,33;  3,23;  0,00;  0,00;  4,66
Badajoz;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 23,33; 29,03; 48,39;  0,00;  0,00;  0,00;  0,00;  9,32
Badajoz;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 16,67; 45,16;  6,45;  0,00;  0,00;  0,00;  0,00;  5,75
Illes Balears;Bajo;100,00; 92,86;100,00;100,00; 80,65; 50,00;  0,00; 12,90; 53,33;100,00; 93,33;100,00; 73,42
Illes Balears;Moderado;  0,00;  7,14;  0,00;  0,00; 16,13; 26,67;  9,68; 29,03; 43,33;  0,00;  3,33;  0,00; 11,23
Illes Balears;Alto;  0,00;  0,00;  0,00;  0,00;  3,23; 20,00; 58,06; 12,90;  3,33;  0,00;  3,33;  0,00;  8,49
Illes Balears;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00;  3,33; 32,26; 38,71;  0,00;  0,00;  0,00;  0,00;  6,30
Illes Balears;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00;  6,45;  0,00;  0,00;  0,00;  0,00;  0,55
Barcelona;Bajo; 67,74; 35,71; 90,32; 63,33; 32,26; 13,33;  3,23; 19,35; 43,33; 54,84; 53,33;100,00; 48,22
Barcelona;Moderado; 25,81; 50,00;  9,68; 23,33; 16,13;  3,33;  9,68; 12,90; 53,33; 45,16; 23,33;  0,00; 22,47
Barcelona;Alto;  6,45; 14,29;  0,00; 10,00; 16,13; 30,00; 12,90; 19,35;  3,33;  0,00; 20,00;  0,00; 10,96
